site_id,date,year,tmax_c,tmin_c,tavg_c,precip_mm,et0_mm,rad_mj_m2,wind_ms,rh_pct,gdd_base10
SITE001,2020-01-28,2020,4.8,-4.8,0.0,8.8,1.19,9.77,4.1,50.0,0.0
SITE001,2020-01-29,2020,7.3,-8.2,-0.4,0.0,1.48,14.41,2.9,37.0,0.0
SITE001,2020-01-30,2020,12.5,-3.9,4.3,0.0,1.95,14.51,2.7,60.0,0.0
SITE001,2020-01-31,2020,14.9,-1.2,6.9,0.4,2.18,9.97,3.4,66.0,0.0
SITE001,2020-02-01,2020,13.0,-1.0,6.0,0.1,1.97,10.04,3.9,39.0,0.0
SITE001,2020-02-02,2020,16.8,-2.4,7.2,0.0,2.44,14.8,3.2,40.0,0.0
SITE001,2020-02-03,2020,21.2,-1.6,9.8,0.3,2.95,10.17,2.8,64.0,0.0
SITE001,2020-02-04,2020,15.0,-3.2,5.9,5.5,2.28,10.24,3.4,51.0,0.0
SITE001,2020-02-05,2020,15.6,-4.4,5.6,0.1,2.38,10.32,3.5,38.0,0.0
SITE001,2020-02-06,2020,14.9,-5.4,4.7,2.3,2.32,10.39,3.2,66.0,0.0
SITE001,2020-02-07,2020,13.6,-7.8,2.9,0.6,2.21,10.46,3.9,51.0,0.0
SITE001,2020-02-08,2020,15.7,-3.0,6.4,0.4,2.42,10.54,4.2,41.0,0.0
SITE001,2020-02-09,2020,14.9,-4.7,5.1,0.0,2.37,15.54,4.3,43.0,0.0
SITE001,2020-02-10,2020,16.2,-4.2,6.0,0.0,2.53,15.66,2.8,32.0,0.0
SITE001,2020-02-11,2020,14.6,-3.5,5.6,0.0,2.36,15.77,2.5,34.0,0.0
SITE001,2020-02-12,2020,11.6,-0.8,5.4,0.0,1.95,15.88,3.8,31.0,0.0
SITE001,2020-02-13,2020,10.5,-3.7,3.4,0.0,1.92,10.92,4.9,44.0,0.0
SITE001,2020-02-14,2020,7.8,-2.5,2.7,0.8,1.59,11.0,3.0,50.0,0.0
SITE001,2020-02-15,2020,8.9,-3.6,2.7,4.4,1.77,11.08,3.8,45.0,0.0
SITE001,2020-02-16,2020,8.7,-0.1,4.3,0.0,1.62,16.35,3.4,25.0,0.0
SITE001,2020-02-17,2020,7.8,2.5,5.2,0.9,1.32,11.24,3.5,65.0,0.0
SITE001,2020-02-18,2020,12.0,-3.7,4.1,1.9,2.16,11.32,2.2,45.0,0.0
SITE001,2020-02-19,2020,11.3,-2.0,4.7,2.2,2.05,11.41,5.9,56.0,0.0
SITE001,2020-02-20,2020,15.3,-5.2,5.0,0.2,2.62,11.49,3.3,52.0,0.0
SITE001,2020-02-21,2020,19.0,-7.6,5.7,3.2,3.09,11.57,1.9,44.0,0.0
SITE001,2020-02-22,2020,18.7,-4.3,7.2,1.6,3.08,11.66,3.3,40.0,0.0
SITE001,2020-02-23,2020,20.6,-1.0,9.8,0.0,3.32,11.74,2.8,42.0,0.0
SITE001,2020-02-24,2020,21.6,-0.6,10.5,0.2,3.47,11.83,3.0,57.0,0.5
SITE001,2020-02-25,2020,19.3,0.4,9.9,0.1,3.16,11.91,3.8,31.0,0.0
SITE001,2020-02-26,2020,21.7,0.8,11.2,5.0,3.5,12.0,3.0,45.0,1.2
SITE001,2020-02-27,2020,18.8,-0.8,9.0,1.2,3.15,12.08,2.6,38.0,0.0
SITE001,2020-02-28,2020,17.9,-3.6,7.1,2.7,3.1,12.17,3.2,63.0,0.0
SITE001,2020-02-29,2020,16.9,-0.4,8.2,1.7,2.93,12.25,1.6,39.0,0.0
SITE001,2020-03-01,2020,19.7,3.0,11.3,0.4,3.24,12.34,3.8,43.0,1.3
SITE001,2020-03-02,2020,17.1,1.8,9.5,2.8,2.92,12.42,3.4,46.0,0.0
SITE001,2020-03-03,2020,19.9,-0.6,9.7,0.3,3.43,12.51,3.5,35.0,0.0
SITE001,2020-03-04,2020,23.7,1.6,12.7,0.2,3.97,12.59,3.0,39.0,2.7
SITE001,2020-03-05,2020,20.8,3.6,12.2,4.8,3.48,12.68,2.9,44.0,2.2
SITE001,2020-03-06,2020,18.7,6.4,12.5,0.0,2.99,18.7,2.6,34.0,2.5
SITE001,2020-03-07,2020,16.9,2.0,9.5,0.0,2.98,18.82,3.2,47.0,0.0
SITE001,2020-03-08,2020,19.6,3.5,11.6,1.2,3.35,12.94,3.8,60.0,1.6
SITE001,2020-03-09,2020,19.1,0.0,9.6,3.0,3.43,13.02,3.0,49.0,0.0
SITE001,2020-03-10,2020,16.9,0.4,8.7,0.0,3.1,19.2,4.5,43.0,0.0
SITE001,2020-03-11,2020,19.3,0.2,9.8,0.0,3.49,19.32,4.0,52.0,0.0
SITE001,2020-03-12,2020,23.6,1.3,12.4,0.2,4.17,13.28,4.1,51.0,2.4
SITE001,2020-03-13,2020,22.1,2.3,12.2,2.1,3.93,13.36,2.3,52.0,2.2
SITE001,2020-03-14,2020,17.4,6.8,12.1,0.6,2.89,13.44,4.1,53.0,2.1
SITE001,2020-03-15,2020,17.4,6.9,12.2,0.0,2.89,19.82,3.1,22.0,2.2
SITE001,2020-03-16,2020,19.1,3.9,11.5,0.0,3.43,19.94,3.6,50.0,1.5
SITE001,2020-03-17,2020,19.9,1.2,10.5,0.0,3.7,20.06,3.5,47.0,0.5
SITE001,2020-03-18,2020,21.4,-1.3,10.1,10.6,4.03,13.78,3.4,59.0,0.1
SITE001,2020-03-19,2020,20.7,-3.3,8.7,3.2,3.96,13.86,5.4,54.0,0.0
SITE001,2020-03-20,2020,18.7,-0.5,9.1,2.1,3.62,13.94,3.6,50.0,0.0
SITE001,2020-03-21,2020,20.8,4.6,12.7,0.5,3.79,14.02,2.7,53.0,2.7
SITE001,2020-03-22,2020,18.7,6.5,12.6,2.7,3.29,14.1,4.5,62.0,2.6
SITE001,2020-03-23,2020,18.3,2.3,10.3,0.0,3.51,20.77,3.4,32.0,0.3
SITE001,2020-03-24,2020,24.1,5.9,15.0,4.0,4.39,14.26,5.4,48.0,5.0
SITE001,2020-03-25,2020,23.1,8.4,15.7,5.8,4.07,14.33,3.1,46.0,5.7
SITE001,2020-03-26,2020,18.9,5.4,12.2,2.0,3.49,14.41,2.3,48.0,2.2
SITE001,2020-03-27,2020,13.3,-1.3,6.0,0.0,2.9,14.49,4.0,47.0,0.0
SITE001,2020-03-28,2020,19.1,1.1,10.1,0.7,3.8,14.56,2.9,68.0,0.1
SITE001,2020-03-29,2020,17.7,1.8,9.7,0.3,3.54,14.64,3.5,49.0,0.0
SITE001,2020-03-30,2020,16.5,6.4,11.4,0.1,3.01,14.71,4.1,40.0,1.4
SITE001,2020-03-31,2020,19.1,2.7,10.9,0.1,3.78,14.79,4.3,49.0,0.9
SITE001,2020-04-01,2020,24.9,8.7,16.8,0.1,4.56,14.86,5.7,43.0,6.8
SITE001,2020-04-02,2020,27.9,7.7,17.8,0.6,5.25,14.93,2.4,71.0,7.8
SITE001,2020-04-03,2020,27.0,1.2,14.1,0.0,5.36,15.0,2.6,38.0,4.1
SITE001,2020-04-04,2020,27.3,6.4,16.8,1.5,5.26,15.07,3.2,42.0,6.8
SITE001,2020-04-05,2020,25.2,6.7,16.0,0.4,4.85,15.14,3.9,15.0,6.0
SITE001,2020-04-06,2020,27.8,5.3,16.5,0.0,5.45,22.28,2.4,49.0,6.5
SITE001,2020-04-07,2020,25.4,2.7,14.1,0.0,5.11,22.38,1.8,48.0,4.1
SITE001,2020-04-08,2020,23.4,8.3,15.9,1.4,4.41,15.34,4.0,47.0,5.9
SITE001,2020-04-09,2020,21.7,10.3,16.0,0.0,3.87,22.57,2.2,39.0,6.0
SITE001,2020-04-10,2020,22.5,8.1,15.3,0.0,4.28,22.66,2.2,52.0,5.3
SITE001,2020-04-11,2020,21.8,11.9,16.9,0.0,3.73,22.75,2.6,47.0,6.9
SITE001,2020-04-12,2020,26.7,8.9,17.8,0.0,5.16,15.6,3.1,59.0,7.8
SITE001,2020-04-13,2020,25.0,12.3,18.6,0.6,4.48,15.66,2.5,48.0,8.6
SITE001,2020-04-14,2020,27.7,6.0,16.8,0.6,5.58,15.72,3.4,50.0,6.8
SITE001,2020-04-15,2020,27.4,3.9,15.6,0.1,5.64,15.78,4.8,43.0,5.6
SITE001,2020-04-16,2020,29.0,2.9,16.0,0.1,6.01,15.84,1.9,59.0,6.0
SITE001,2020-04-17,2020,28.5,8.2,18.3,0.8,5.7,15.89,4.0,49.0,8.3
SITE001,2020-04-18,2020,27.2,8.4,17.8,0.0,5.43,23.36,3.1,49.0,7.8
SITE001,2020-04-19,2020,26.4,7.9,17.1,0.7,5.3,16.0,2.7,51.0,7.1
SITE001,2020-04-20,2020,23.4,6.5,14.9,2.3,4.77,16.06,3.2,52.0,4.9
SITE001,2020-04-21,2020,21.4,4.3,12.9,0.0,4.51,23.6,2.8,45.0,2.9
SITE001,2020-04-22,2020,21.0,2.1,11.5,1.3,4.55,16.16,4.4,50.0,1.5
SITE001,2020-04-23,2020,26.6,5.8,16.2,0.3,5.54,16.21,2.5,44.0,6.2
SITE001,2020-04-24,2020,24.4,6.0,15.2,0.2,5.07,16.26,2.4,44.0,5.2
SITE001,2020-04-25,2020,25.9,2.9,14.4,1.9,5.55,16.31,3.8,50.0,4.4
SITE001,2020-04-26,2020,21.1,4.4,12.8,4.9,4.5,16.36,3.8,46.0,2.8
SITE001,2020-04-27,2020,19.8,2.0,10.9,0.8,4.37,16.41,3.9,51.0,0.9
SITE001,2020-04-28,2020,23.9,8.7,16.3,1.1,4.82,16.45,3.5,36.0,6.3
SITE001,2020-04-29,2020,24.0,2.9,13.5,4.3,5.22,16.5,2.6,44.0,3.5
SITE001,2020-04-30,2020,23.4,8.5,15.9,0.2,4.75,16.54,2.8,32.0,5.9
SITE001,2020-05-01,2020,35.6,13.4,24.5,0.7,7.27,16.58,1.8,68.0,14.5
SITE001,2020-05-02,2020,31.5,12.8,22.1,0.7,6.32,16.62,4.5,62.0,12.1
SITE001,2020-05-03,2020,30.2,11.3,20.7,0.6,6.15,16.67,2.9,40.0,10.7
SITE001,2020-05-04,2020,31.1,9.0,20.1,0.5,6.55,16.7,2.1,57.0,10.1
SITE001,2020-05-05,2020,32.8,11.0,21.9,0.2,6.83,16.74,3.3,50.0,11.9
SITE001,2020-05-06,2020,34.1,8.0,21.0,1.0,7.33,16.78,2.0,42.0,11.0
SITE001,2020-05-07,2020,34.2,14.0,24.1,3.8,6.96,16.82,4.8,41.0,14.1
SITE001,2020-05-08,2020,34.3,11.9,23.1,0.0,7.19,16.85,3.3,46.0,13.1
SITE001,2020-05-09,2020,32.1,10.0,21.0,1.1,6.8,16.89,2.4,51.0,11.0
SITE001,2020-05-10,2020,30.5,10.9,20.7,3.1,6.35,16.92,4.9,42.0,10.7
SITE001,2020-05-11,2020,31.8,12.0,21.9,0.3,6.6,16.95,3.0,46.0,11.9
SITE001,2020-05-12,2020,28.1,14.2,21.2,0.2,5.43,16.98,4.5,40.0,11.2
SITE001,2020-05-13,2020,32.4,13.9,23.2,0.4,6.6,17.01,2.8,51.0,13.2
SITE001,2020-05-14,2020,33.9,14.7,24.3,0.0,6.93,24.96,1.7,36.0,14.3
SITE001,2020-05-15,2020,33.8,14.1,24.0,2.0,6.97,17.07,2.6,42.0,14.0
SITE001,2020-05-16,2020,26.1,12.6,19.4,0.1,5.13,17.1,4.0,37.0,9.4
SITE001,2020-05-17,2020,30.1,9.0,19.6,2.5,6.48,17.13,3.2,41.0,9.6
SITE001,2020-05-18,2020,30.5,14.3,22.4,0.0,6.12,25.12,3.4,42.0,12.4
SITE001,2020-05-19,2020,32.7,14.5,23.6,0.0,6.68,25.16,3.1,38.0,13.6
SITE001,2020-05-20,2020,34.9,7.8,21.3,5.6,7.72,17.2,5.3,45.0,11.3
SITE001,2020-05-21,2020,29.4,11.3,20.3,0.8,6.16,17.22,2.8,51.0,10.3
SITE001,2020-05-22,2020,26.0,6.1,16.1,0.7,5.74,17.24,2.8,27.0,6.1
SITE001,2020-05-23,2020,30.1,9.3,19.7,0.0,6.51,25.29,3.8,23.0,9.7
SITE001,2020-05-24,2020,30.1,9.8,19.9,0.0,6.48,25.32,2.9,35.0,9.9
SITE001,2020-05-25,2020,31.4,9.7,20.6,0.0,6.82,17.3,3.0,58.0,10.6
SITE001,2020-05-26,2020,32.6,13.8,23.2,0.9,6.78,17.32,4.5,45.0,13.2
SITE001,2020-05-27,2020,31.3,9.6,20.4,0.9,6.8,17.34,3.6,36.0,10.4
SITE001,2020-05-28,2020,27.9,15.1,21.5,0.0,5.37,25.42,2.2,33.0,11.5
SITE001,2020-05-29,2020,27.3,15.9,21.6,0.0,5.1,25.45,1.6,60.0,11.6
SITE001,2020-05-30,2020,27.1,12.0,19.5,0.0,5.57,25.47,3.7,35.0,9.5
SITE001,2020-05-31,2020,30.0,12.7,21.4,0.4,6.25,17.4,2.2,57.0,11.4
SITE001,2020-06-01,2020,41.0,14.1,27.5,7.9,9.02,17.42,3.2,42.0,17.5
SITE001,2020-06-02,2020,36.4,16.6,26.5,0.1,7.56,17.43,4.8,55.0,16.5
SITE001,2020-06-03,2020,38.3,16.2,27.3,0.3,8.15,17.44,3.1,48.0,17.3
SITE001,2020-06-04,2020,33.6,11.7,22.6,0.1,7.28,17.45,3.2,42.0,12.6
SITE001,2020-06-05,2020,37.9,6.9,22.4,0.1,8.6,17.46,1.9,36.0,12.4
SITE001,2020-06-06,2020,35.5,13.2,24.3,0.0,7.65,25.59,2.4,44.0,14.3
SITE001,2020-06-07,2020,32.9,16.5,24.7,5.1,6.63,17.48,3.3,23.0,14.7
SITE001,2020-06-08,2020,32.5,12.1,22.3,3.6,6.99,17.49,2.5,26.0,12.3
SITE001,2020-06-09,2020,34.9,18.3,26.6,0.1,6.98,17.49,2.5,67.0,16.6
SITE001,2020-06-10,2020,34.9,17.1,26.0,0.2,7.14,17.5,3.9,44.0,16.0
SITE001,2020-06-11,2020,34.9,18.1,26.5,0.0,7.0,17.5,2.6,50.0,16.5
SITE001,2020-06-12,2020,36.2,19.5,27.9,0.0,7.21,25.65,3.5,41.0,17.9
SITE001,2020-06-13,2020,34.3,17.7,26.0,0.0,6.9,25.65,2.8,12.0,16.0
SITE001,2020-06-14,2020,30.8,14.0,22.4,0.0,6.36,25.66,3.4,41.0,12.4
SITE001,2020-06-15,2020,33.5,15.2,24.4,0.2,6.95,17.52,4.0,41.0,14.4
SITE001,2020-06-16,2020,36.5,13.0,24.7,3.4,7.95,17.52,4.2,41.0,14.7
SITE001,2020-06-17,2020,35.7,17.0,26.3,0.6,7.36,17.52,5.3,51.0,16.3
SITE001,2020-06-18,2020,33.4,18.5,25.9,3.0,6.51,17.52,2.9,52.0,15.9
SITE001,2020-06-19,2020,40.4,19.4,29.9,0.0,8.44,25.66,2.3,55.0,19.9
SITE001,2020-06-20,2020,44.5,15.4,29.9,0.0,9.95,25.66,2.2,51.0,19.9
SITE001,2020-06-21,2020,38.7,12.5,25.6,0.0,8.57,25.66,2.8,38.0,15.6
SITE001,2020-06-22,2020,39.7,13.2,26.5,4.6,8.8,17.51,3.1,35.0,16.5
SITE001,2020-06-23,2020,37.4,17.5,27.5,3.7,7.78,17.51,2.8,52.0,17.5
SITE001,2020-06-24,2020,34.7,9.6,22.2,0.5,7.72,17.5,2.6,49.0,12.2
SITE001,2020-06-25,2020,32.4,11.0,21.7,0.0,7.06,25.63,4.1,31.0,11.7
SITE001,2020-06-26,2020,32.8,14.0,23.4,1.7,6.88,17.49,1.8,38.0,13.4
SITE001,2020-06-27,2020,34.1,13.1,23.6,0.7,7.31,17.49,6.6,32.0,13.6
SITE001,2020-06-28,2020,36.2,19.2,27.7,0.0,7.23,25.6,2.8,32.0,17.7
SITE001,2020-06-29,2020,37.3,16.5,26.9,1.2,7.85,17.47,2.7,36.0,16.9
SITE001,2020-06-30,2020,33.9,14.6,24.2,0.8,7.1,17.46,5.3,32.0,14.2
SITE001,2020-07-01,2020,43.2,16.6,29.9,0.0,9.45,17.45,2.6,50.0,19.9
SITE001,2020-07-02,2020,40.4,14.0,27.2,1.5,8.89,17.44,5.9,34.0,17.2
SITE001,2020-07-03,2020,36.3,15.6,26.0,0.9,7.64,17.43,3.7,37.0,16.0
SITE001,2020-07-04,2020,32.5,15.2,23.8,0.0,6.65,25.51,2.7,22.0,13.8
SITE001,2020-07-05,2020,30.9,16.0,23.4,0.0,6.09,25.5,3.3,19.0,13.4
SITE001,2020-07-06,2020,32.0,24.1,28.0,2.2,4.93,17.39,2.6,23.0,18.0
SITE001,2020-07-07,2020,30.7,18.3,24.5,1.2,5.7,17.38,4.8,40.0,14.5
SITE001,2020-07-08,2020,25.0,17.3,21.1,0.5,4.15,17.36,5.6,56.0,11.1
SITE001,2020-07-09,2020,32.8,16.3,24.5,1.7,6.57,17.35,2.2,40.0,14.5
SITE001,2020-07-10,2020,34.0,9.3,21.7,1.2,7.5,17.33,2.0,44.0,11.7
SITE001,2020-07-11,2020,37.1,9.2,23.1,2.2,8.24,17.31,4.3,27.0,13.1
SITE001,2020-07-12,2020,33.1,14.1,23.6,0.1,6.87,17.29,3.1,50.0,13.6
SITE001,2020-07-13,2020,36.6,13.6,25.1,1.0,7.82,17.28,4.3,22.0,15.1
SITE001,2020-07-14,2020,38.4,16.6,27.5,0.1,8.04,17.26,3.9,49.0,17.5
SITE001,2020-07-15,2020,36.9,18.3,27.6,0.2,7.45,17.23,2.3,46.0,17.6
SITE001,2020-07-16,2020,34.3,18.0,26.1,0.5,6.74,17.21,4.7,39.0,16.1
SITE001,2020-07-17,2020,39.1,22.2,30.6,0.0,7.53,25.18,2.6,26.0,20.6
SITE001,2020-07-18,2020,33.4,20.5,26.9,0.0,6.09,25.15,6.1,23.0,16.9
SITE001,2020-07-19,2020,40.4,21.9,31.1,0.4,7.95,17.14,3.4,38.0,21.1
SITE001,2020-07-20,2020,37.2,15.3,26.3,1.2,7.79,17.12,1.9,27.0,16.3
SITE001,2020-07-21,2020,38.9,15.1,27.0,0.0,8.23,25.04,2.1,47.0,17.0
SITE001,2020-07-22,2020,36.9,14.5,25.7,0.5,7.75,17.07,2.2,40.0,15.7
SITE001,2020-07-23,2020,38.7,14.9,26.8,1.7,8.17,17.04,2.8,38.0,16.8
SITE001,2020-07-24,2020,38.7,19.2,28.9,0.1,7.73,17.01,3.6,60.0,18.9
SITE001,2020-07-25,2020,34.3,19.6,26.9,0.9,6.41,16.98,3.1,28.0,16.9
SITE001,2020-07-26,2020,40.6,21.6,31.1,0.2,7.97,16.95,4.6,31.0,21.1
SITE001,2020-07-27,2020,37.7,16.6,27.1,0.0,7.68,24.78,2.3,40.0,17.1
SITE001,2020-07-28,2020,40.3,18.2,29.3,1.0,8.23,16.89,1.3,49.0,19.3
SITE001,2020-07-29,2020,40.6,16.7,28.6,0.8,8.43,16.86,4.3,50.0,18.6
SITE001,2020-07-30,2020,38.6,16.2,27.4,1.5,7.93,16.82,3.5,32.0,17.4
SITE001,2020-07-31,2020,37.3,21.1,29.2,0.0,6.98,24.59,2.8,25.0,19.2
SITE001,2020-08-01,2020,37.4,20.6,29.0,0.0,7.06,24.54,2.9,34.0,19.0
SITE001,2020-08-02,2020,36.4,15.6,26.0,1.0,7.36,16.71,4.4,52.0,16.0
SITE001,2020-08-03,2020,38.8,17.2,28.0,1.5,7.83,16.68,2.0,38.0,18.0
SITE001,2020-08-04,2020,34.2,13.5,23.9,0.2,6.95,16.64,2.7,35.0,13.9
SITE001,2020-08-05,2020,29.2,12.6,20.9,0.0,5.75,16.6,2.2,45.0,10.9
SITE001,2020-08-06,2020,31.1,15.7,23.4,0.1,5.89,16.56,3.5,32.0,13.4
SITE001,2020-08-07,2020,37.2,19.5,28.3,0.5,7.06,16.52,6.1,54.0,18.3
SITE001,2020-08-08,2020,33.5,16.4,25.0,0.6,6.42,16.47,2.7,51.0,15.0
SITE001,2020-08-09,2020,35.2,14.7,24.9,0.2,7.02,16.43,3.0,34.0,14.9
SITE001,2020-08-10,2020,33.1,16.6,24.8,0.5,6.25,16.39,2.8,21.0,14.8
SITE001,2020-08-11,2020,31.6,18.3,25.0,0.7,5.61,16.34,2.4,28.0,15.0
SITE001,2020-08-12,2020,33.3,16.6,25.0,3.2,6.27,16.3,4.4,37.0,15.0
SITE001,2020-08-13,2020,31.2,11.4,21.3,0.2,6.23,16.25,4.8,39.0,11.3
SITE001,2020-08-14,2020,34.9,11.2,23.1,0.0,7.1,16.2,3.2,35.0,13.1
SITE001,2020-08-15,2020,37.2,19.4,28.3,0.0,6.93,23.66,3.4,42.0,18.3
SITE001,2020-08-16,2020,37.9,17.0,27.5,2.5,7.35,16.1,4.6,57.0,17.5
SITE001,2020-08-17,2020,37.6,20.4,29.0,0.4,6.87,16.05,4.5,30.0,19.0
SITE001,2020-08-18,2020,38.4,20.9,29.7,0.0,7.01,16.0,3.5,43.0,19.7
SITE001,2020-08-19,2020,36.6,19.8,28.2,3.0,6.63,15.94,2.0,45.0,18.2
SITE001,2020-08-20,2020,37.1,19.7,28.4,0.3,6.73,15.89,2.1,22.0,18.4
SITE001,2020-08-21,2020,34.7,13.2,23.9,0.4,6.75,15.84,2.4,43.0,13.9
SITE001,2020-08-22,2020,34.4,15.5,24.9,0.0,6.45,15.78,2.8,50.0,14.9
SITE001,2020-08-23,2020,33.6,13.3,23.5,0.1,6.45,15.72,3.9,35.0,13.5
SITE001,2020-08-24,2020,38.2,15.3,26.8,1.3,7.37,15.66,3.0,30.0,16.8
SITE001,2020-08-25,2020,37.7,19.8,28.7,1.4,6.76,15.61,3.7,39.0,18.7
SITE001,2020-08-26,2020,36.0,17.0,26.5,0.9,6.6,15.55,2.6,43.0,16.5
SITE001,2020-08-27,2020,34.2,12.6,23.4,0.0,6.53,22.68,2.9,25.0,13.4
SITE001,2020-08-28,2020,33.1,15.1,24.1,0.5,6.05,15.42,4.0,27.0,14.1
SITE001,2020-08-29,2020,31.4,16.8,24.1,0.6,5.41,15.36,2.4,44.0,14.1
SITE001,2020-08-30,2020,33.1,15.1,24.1,0.3,6.01,15.3,2.7,56.0,14.1
SITE001,2020-08-31,2020,30.4,16.1,23.3,0.0,5.22,22.31,3.2,40.0,13.3
SITE001,2020-09-01,2020,24.8,11.6,18.2,0.0,4.36,22.22,2.6,29.0,8.2
SITE001,2020-09-02,2020,29.4,15.8,22.6,0.0,4.96,22.12,2.9,17.0,12.6
SITE001,2020-09-03,2020,31.7,13.7,22.7,0.6,5.68,15.03,2.3,26.0,12.7
SITE001,2020-09-04,2020,33.3,14.0,23.7,2.2,6.0,14.97,3.4,44.0,13.7
SITE001,2020-09-05,2020,30.0,12.3,21.1,1.2,5.38,14.9,3.8,47.0,11.1
SITE001,2020-09-06,2020,33.2,13.1,23.2,0.0,6.0,21.72,2.3,49.0,13.2
SITE001,2020-09-07,2020,31.7,12.2,22.0,0.0,5.7,21.62,2.5,42.0,12.0
SITE001,2020-09-08,2020,36.9,9.9,23.4,0.7,6.93,14.69,3.9,29.0,13.4
SITE001,2020-09-09,2020,32.6,15.6,24.1,0.1,5.55,14.61,5.6,45.0,14.1
SITE001,2020-09-10,2020,35.4,11.8,23.6,0.2,6.44,14.54,3.3,27.0,13.6
SITE001,2020-09-11,2020,35.9,14.8,25.3,0.0,6.3,14.47,2.4,65.0,15.3
SITE001,2020-09-12,2020,34.6,11.4,23.0,1.1,6.23,14.39,3.3,44.0,13.0
SITE001,2020-09-13,2020,38.4,13.4,25.9,5.3,6.89,14.32,3.5,16.0,15.9
SITE001,2020-09-14,2020,30.4,19.1,24.8,0.0,4.48,20.86,5.4,42.0,14.8
SITE001,2020-09-15,2020,35.3,16.6,26.0,0.4,5.91,14.17,3.2,25.0,16.0
SITE001,2020-09-16,2020,30.8,12.3,21.6,1.2,5.26,14.09,2.5,36.0,11.6
SITE001,2020-09-17,2020,34.6,14.5,24.6,1.3,5.86,14.01,1.8,44.0,14.6
SITE001,2020-09-18,2020,38.6,12.7,25.6,0.1,6.78,13.93,2.9,38.0,15.6
SITE001,2020-09-19,2020,36.4,8.3,22.4,0.0,6.5,20.29,3.6,16.0,12.4
SITE001,2020-09-20,2020,35.9,6.2,21.1,0.0,6.43,20.18,2.6,28.0,11.1
SITE001,2020-09-21,2020,32.5,1.9,17.2,0.2,5.84,13.69,4.6,52.0,7.2
SITE001,2020-09-22,2020,25.2,5.8,15.5,0.0,4.4,19.94,3.1,19.0,5.5
SITE001,2020-09-23,2020,32.7,6.4,19.6,0.0,5.71,19.82,3.2,23.0,9.6
SITE001,2020-09-24,2020,35.3,12.7,24.0,0.0,5.9,19.7,1.8,22.0,14.0
SITE001,2020-09-25,2020,30.1,9.9,20.0,1.7,5.0,13.37,3.2,45.0,10.0
SITE001,2020-09-26,2020,29.8,9.7,19.7,0.0,4.93,13.29,4.4,34.0,9.7
