country_fa,year,flood_events,drought_events,storm_events,extreme_temp_events,earthquake_events,total_events,deaths_total,affected_M,source,confidence
ایران,2015,5,1,0,2,1,9,142,2.71,EM-DAT بازسازی آماری,D
ایران,2016,4,0,1,1,0,6,24,0.42,EM-DAT بازسازی آماری,D
ایران,2017,2,1,1,1,1,6,55,1.21,EM-DAT بازسازی آماری,D
ایران,2018,3,1,0,2,2,8,319,2.61,EM-DAT بازسازی آماری,D
ایران,2019,4,0,1,0,2,7,578,0.17,EM-DAT بازسازی آماری,D
ایران,2020,5,1,0,0,1,7,183,11.71,EM-DAT بازسازی آماری,D
ایران,2021,5,1,0,3,2,11,167,4.07,EM-DAT بازسازی آماری,D
ایران,2022,3,1,0,1,2,7,43,2.22,EM-DAT بازسازی آماری,D
ایران,2023,4,0,0,1,0,5,155,0.03,EM-DAT بازسازی آماری,D
ایران,2024,5,0,1,0,0,6,30,3.32,EM-DAT بازسازی آماری,D
ترکیه,1991,0,0,2,0,2,4,68,0.11,EM-DAT بازسازی آماری,D
ترکیه,1992,5,0,0,1,3,9,436,0.55,EM-DAT بازسازی آماری,D
ترکیه,1993,3,0,1,2,1,7,86,0.07,EM-DAT بازسازی آماری,D
ترکیه,1994,3,1,0,1,1,6,195,1.46,EM-DAT بازسازی آماری,D
ترکیه,1995,2,0,0,0,1,3,104,0.35,EM-DAT بازسازی آماری,D
ترکیه,1996,5,0,0,0,2,7,6,0.18,EM-DAT بازسازی آماری,D
ترکیه,1997,4,0,0,1,2,7,367,0.09,EM-DAT بازسازی آماری,D
ترکیه,1998,6,0,3,0,4,13,828,0.56,EM-DAT بازسازی آماری,D
ترکیه,1999,4,0,0,1,2,7,451,0.36,EM-DAT بازسازی آماری,D
ترکیه,2000,4,0,0,0,5,9,268,0.82,EM-DAT بازسازی آماری,D
ترکیه,2001,4,0,0,1,3,8,116,0.33,EM-DAT بازسازی آماری,D
ترکیه,2002,4,0,0,1,1,6,86,0.06,EM-DAT بازسازی آماری,D
ترکیه,2003,6,0,1,1,2,10,407,1.31,EM-DAT بازسازی آماری,D
ترکیه,2004,3,0,1,0,2,6,111,0.05,EM-DAT بازسازی آماری,D
ترکیه,2005,3,0,2,1,1,7,115,0.17,EM-DAT بازسازی آماری,D
ترکیه,2006,3,0,0,0,1,4,128,0.12,EM-DAT بازسازی آماری,D
ترکیه,2007,5,0,0,1,2,8,359,0.32,EM-DAT بازسازی آماری,D
ترکیه,2008,6,0,1,0,0,7,164,0.79,EM-DAT بازسازی آماری,D
ترکیه,2009,3,0,1,3,0,7,70,0.25,EM-DAT بازسازی آماری,D
ترکیه,2010,4,0,1,1,2,8,238,0.18,EM-DAT بازسازی آماری,D
ترکیه,2011,6,0,0,0,0,6,337,0.04,EM-DAT بازسازی آماری,D
ترکیه,2012,6,0,1,2,4,13,498,0.12,EM-DAT بازسازی آماری,D
ترکیه,2013,5,0,2,3,1,11,410,0.26,EM-DAT بازسازی آماری,D
ترکیه,2014,3,0,2,1,2,8,293,0.24,EM-DAT بازسازی آماری,D
ترکیه,2015,3,0,0,1,2,6,200,0.51,EM-DAT بازسازی آماری,D
ترکیه,2016,8,1,1,3,2,15,306,2.88,EM-DAT بازسازی آماری,D
ترکیه,2017,6,0,3,1,3,13,199,1.1,EM-DAT بازسازی آماری,D
ترکیه,2018,2,0,0,0,4,6,124,0.05,EM-DAT بازسازی آماری,D
ترکیه,2019,3,0,2,0,0,5,134,0.07,EM-DAT بازسازی آماری,D
ترکیه,2020,4,1,1,0,4,10,244,0.81,EM-DAT بازسازی آماری,D
ترکیه,2021,9,0,0,2,0,11,72,0.03,EM-DAT بازسازی آماری,D
ترکیه,2022,4,0,1,1,0,6,157,0.02,EM-DAT بازسازی آماری,D
ترکیه,2023,5,0,2,0,1,8,241,0.14,EM-DAT بازسازی آماری,D
ترکیه,2024,5,0,2,0,0,7,9,0.66,EM-DAT بازسازی آماری,D
مصر,1991,2,0,0,0,0,2,14,0.17,EM-DAT بازسازی آماری,D
مصر,1992,2,1,0,0,0,3,44,2.59,EM-DAT بازسازی آماری,D
مصر,1993,2,0,0,0,0,2,7,0.59,EM-DAT بازسازی آماری,D
مصر,1994,1,0,0,0,1,2,61,0.02,EM-DAT بازسازی آماری,D
مصر,1995,1,0,0,0,0,1,17,0.08,EM-DAT بازسازی آماری,D
مصر,1996,1,0,0,2,1,4,88,0.09,EM-DAT بازسازی آماری,D
مصر,1997,2,1,0,0,1,4,32,1.38,EM-DAT بازسازی آماری,D
مصر,1998,0,0,1,1,0,2,8,0.1,EM-DAT بازسازی آماری,D
مصر,1999,1,0,0,0,0,1,12,0.38,EM-DAT بازسازی آماری,D
مصر,2000,2,0,1,0,0,3,33,1.14,EM-DAT بازسازی آماری,D
مصر,2001,0,1,0,0,0,1,0,0.78,EM-DAT بازسازی آماری,D
مصر,2002,2,0,1,1,0,4,13,0.18,EM-DAT بازسازی آماری,D
مصر,2003,1,0,3,0,1,5,205,0.39,EM-DAT بازسازی آماری,D
مصر,2004,0,1,0,0,0,1,0,7.64,EM-DAT بازسازی آماری,D
مصر,2005,3,0,0,1,0,4,11,0.49,EM-DAT بازسازی آماری,D
مصر,2006,1,0,0,0,1,2,75,0.15,EM-DAT بازسازی آماری,D
مصر,2007,0,0,0,0,1,1,28,0.0,EM-DAT بازسازی آماری,D
مصر,2008,0,0,1,0,0,1,3,0.06,EM-DAT بازسازی آماری,D
مصر,2009,0,0,0,0,0,0,0,0.0,EM-DAT بازسازی آماری,D
مصر,2010,6,0,2,0,0,8,118,0.71,EM-DAT بازسازی آماری,D
مصر,2011,1,0,0,0,0,1,8,0.17,EM-DAT بازسازی آماری,D
مصر,2012,2,0,0,0,0,2,60,0.03,EM-DAT بازسازی آماری,D
مصر,2013,1,1,1,1,0,4,66,2.42,EM-DAT بازسازی آماری,D
مصر,2014,2,0,1,0,0,3,131,0.17,EM-DAT بازسازی آماری,D
مصر,2015,1,1,0,0,0,2,24,1.62,EM-DAT بازسازی آماری,D
مصر,2016,1,1,0,4,0,6,49,0.72,EM-DAT بازسازی آماری,D
مصر,2017,1,0,0,1,0,2,81,0.14,EM-DAT بازسازی آماری,D
مصر,2018,4,0,2,0,0,6,72,0.66,EM-DAT بازسازی آماری,D
مصر,2019,1,0,2,1,1,5,99,0.23,EM-DAT بازسازی آماری,D
مصر,2020,1,0,0,0,0,1,16,0.1,EM-DAT بازسازی آماری,D
مصر,2021,0,0,0,1,1,2,160,0.0,EM-DAT بازسازی آماری,D
مصر,2022,0,0,1,0,0,1,1,0.02,EM-DAT بازسازی آماری,D
مصر,2023,3,0,0,1,0,4,67,0.35,EM-DAT بازسازی آماری,D
مصر,2024,1,0,4,1,0,6,149,0.07,EM-DAT بازسازی آماری,D
عراق,1991,3,0,0,0,1,4,130,0.1,EM-DAT بازسازی آماری,D
عراق,1992,3,1,0,1,0,5,28,1.89,EM-DAT بازسازی آماری,D
عراق,1993,3,0,0,0,0,3,11,0.05,EM-DAT بازسازی آماری,D
عراق,1994,5,1,0,1,1,8,182,1.34,EM-DAT بازسازی آماری,D
عراق,1995,3,1,1,2,2,9,202,1.34,EM-DAT بازسازی آماری,D
عراق,1996,2,0,0,2,0,4,43,0.17,EM-DAT بازسازی آماری,D
عراق,1997,3,1,0,1,2,7,602,2.46,EM-DAT بازسازی آماری,D
عراق,1998,3,0,0,0,1,4,179,0.14,EM-DAT بازسازی آماری,D
عراق,1999,0,1,1,1,0,3,9,1.89,EM-DAT بازسازی آماری,D
عراق,2000,1,0,0,0,0,1,0,0.16,EM-DAT بازسازی آماری,D
عراق,2001,5,0,1,0,0,6,135,0.06,EM-DAT بازسازی آماری,D
عراق,2002,3,1,0,0,0,4,49,2.45,EM-DAT بازسازی آماری,D
عراق,2003,0,0,1,1,1,3,204,0.03,EM-DAT بازسازی آماری,D
عراق,2004,7,0,0,0,0,7,4,0.32,EM-DAT بازسازی آماری,D
عراق,2005,3,1,0,0,1,5,76,1.46,EM-DAT بازسازی آماری,D
عراق,2006,2,1,1,0,1,5,123,1.55,EM-DAT بازسازی آماری,D
عراق,2007,1,0,1,0,2,4,202,0.11,EM-DAT بازسازی آماری,D
عراق,2008,1,0,0,1,0,2,18,0.13,EM-DAT بازسازی آماری,D
عراق,2009,4,0,0,0,1,5,85,0.44,EM-DAT بازسازی آماری,D
عراق,2010,1,1,0,0,1,3,197,4.7,EM-DAT بازسازی آماری,D
عراق,2011,2,1,0,2,2,7,122,1.29,EM-DAT بازسازی آماری,D
عراق,2012,4,1,0,1,0,6,15,0.8,EM-DAT بازسازی آماری,D
عراق,2013,3,1,1,1,0,6,22,1.44,EM-DAT بازسازی آماری,D
عراق,2014,1,0,0,0,0,1,7,0.25,EM-DAT بازسازی آماری,D
عراق,2015,3,0,0,0,1,4,60,0.07,EM-DAT بازسازی آماری,D
عراق,2016,2,1,0,0,1,4,36,0.52,EM-DAT بازسازی آماری,D
عراق,2017,5,1,0,1,0,7,77,2.26,EM-DAT بازسازی آماری,D
عراق,2018,5,1,1,2,0,9,147,2.05,EM-DAT بازسازی آماری,D
عراق,2019,0,1,0,0,1,2,59,7.03,EM-DAT بازسازی آماری,D
عراق,2020,3,1,1,0,0,5,94,0.94,EM-DAT بازسازی آماری,D
عراق,2021,6,0,0,0,0,6,15,0.58,EM-DAT بازسازی آماری,D
عراق,2022,6,1,0,2,2,11,163,1.76,EM-DAT بازسازی آماری,D
عراق,2023,3,0,1,1,0,5,18,0.29,EM-DAT بازسازی آماری,D
عراق,2024,1,0,1,1,1,4,154,0.17,EM-DAT بازسازی آماری,D
عربستان,1991,0,0,1,1,1,3,53,0.07,EM-DAT بازسازی آماری,D
عربستان,1992,1,0,3,0,0,4,26,0.01,EM-DAT بازسازی آماری,D
عربستان,1993,0,0,0,0,0,0,0,0.0,EM-DAT بازسازی آماری,D
عربستان,1994,0,0,2,0,0,2,44,0.21,EM-DAT بازسازی آماری,D
عربستان,1995,0,0,2,0,0,2,25,0.11,EM-DAT بازسازی آماری,D
عربستان,1996,0,0,1,1,0,2,27,0.06,EM-DAT بازسازی آماری,D
عربستان,1997,0,0,0,0,1,1,172,0.0,EM-DAT بازسازی آماری,D
عربستان,1998,3,0,1,0,0,4,56,0.09,EM-DAT بازسازی آماری,D
عربستان,1999,1,0,2,0,0,3,39,0.06,EM-DAT بازسازی آماری,D
عربستان,2000,1,1,2,2,0,6,90,2.48,EM-DAT بازسازی آماری,D
عربستان,2001,1,0,1,2,0,4,177,0.12,EM-DAT بازسازی آماری,D
عربستان,2002,0,0,0,1,0,1,13,0.0,EM-DAT بازسازی آماری,D
عربستان,2003,1,0,1,1,0,3,59,0.02,EM-DAT بازسازی آماری,D
عربستان,2004,1,0,0,1,0,2,26,0.0,EM-DAT بازسازی آماری,D
عربستان,2005,1,0,2,0,0,3,42,0.07,EM-DAT بازسازی آماری,D
عربستان,2006,0,0,0,1,0,1,2,0.0,EM-DAT بازسازی آماری,D
عربستان,2007,0,0,0,1,0,1,37,0.0,EM-DAT بازسازی آماری,D
عربستان,2008,0,0,2,0,0,2,1,0.08,EM-DAT بازسازی آماری,D
عربستان,2009,0,0,1,0,1,2,58,0.04,EM-DAT بازسازی آماری,D
عربستان,2010,1,1,1,0,0,3,84,1.36,EM-DAT بازسازی آماری,D
عربستان,2011,1,1,2,0,0,4,26,0.73,EM-DAT بازسازی آماری,D
عربستان,2012,1,0,1,0,1,3,33,0.02,EM-DAT بازسازی آماری,D
عربستان,2013,1,0,1,2,0,4,17,0.12,EM-DAT بازسازی آماری,D
عربستان,2014,1,0,0,0,0,1,56,0.04,EM-DAT بازسازی آماری,D
عربستان,2015,1,0,1,1,0,3,81,0.03,EM-DAT بازسازی آماری,D
عربستان,2016,0,0,1,0,0,1,1,0.06,EM-DAT بازسازی آماری,D
عربستان,2017,1,1,1,1,1,5,85,2.55,EM-DAT بازسازی آماری,D
عربستان,2018,1,1,0,1,1,4,158,0.39,EM-DAT بازسازی آماری,D
عربستان,2019,1,0,0,0,0,1,26,0.04,EM-DAT بازسازی آماری,D
عربستان,2020,0,1,1,1,0,3,46,0.34,EM-DAT بازسازی آماری,D
عربستان,2021,0,1,0,0,1,2,68,0.14,EM-DAT بازسازی آماری,D
عربستان,2022,0,0,0,1,0,1,14,0.0,EM-DAT بازسازی آماری,D
عربستان,2023,0,0,1,0,0,1,18,0.05,EM-DAT بازسازی آماری,D
عربستان,2024,0,0,0,2,0,2,57,0.0,EM-DAT بازسازی آماری,D
امارات,1991,0,0,0,0,0,0,8,0.0,EM-DAT بازسازی آماری,D
امارات,1992,1,1,1,0,0,3,16,0.22,EM-DAT بازسازی آماری,D
امارات,1993,1,0,1,1,0,3,46,0.4,EM-DAT بازسازی آماری,D
امارات,1994,0,1,0,1,2,4,64,0.48,EM-DAT بازسازی آماری,D
امارات,1995,1,0,3,2,1,7,116,0.04,EM-DAT بازسازی آماری,D
امارات,1996,2,1,1,0,0,4,29,0.4,EM-DAT بازسازی آماری,D
امارات,1997,1,0,2,1,0,4,24,0.25,EM-DAT بازسازی آماری,D
امارات,1998,1,0,3,0,0,4,22,0.19,EM-DAT بازسازی آماری,D
امارات,1999,2,0,3,1,0,6,12,0.22,EM-DAT بازسازی آماری,D
امارات,2000,2,0,0,0,0,2,34,0.04,EM-DAT بازسازی آماری,D
امارات,2001,0,0,1,0,1,2,29,0.0,EM-DAT بازسازی آماری,D
امارات,2002,1,0,0,0,0,1,2,0.03,EM-DAT بازسازی آماری,D
امارات,2003,1,0,2,0,1,4,99,0.09,EM-DAT بازسازی آماری,D
امارات,2004,1,0,1,0,0,2,28,0.09,EM-DAT بازسازی آماری,D
امارات,2005,0,0,0,0,0,0,0,0.0,EM-DAT بازسازی آماری,D
امارات,2006,0,0,0,0,0,0,1,0.0,EM-DAT بازسازی آماری,D
امارات,2007,0,0,2,0,0,2,18,0.1,EM-DAT بازسازی آماری,D
امارات,2008,1,0,1,0,1,3,41,0.01,EM-DAT بازسازی آماری,D
امارات,2009,2,0,0,0,0,2,8,0.16,EM-DAT بازسازی آماری,D
امارات,2010,1,0,1,3,0,5,61,0.1,EM-DAT بازسازی آماری,D
امارات,2011,2,1,2,0,0,5,15,0.68,EM-DAT بازسازی آماری,D
امارات,2012,0,0,1,1,0,2,57,0.22,EM-DAT بازسازی آماری,D
امارات,2013,0,0,1,1,0,2,39,0.25,EM-DAT بازسازی آماری,D
امارات,2014,0,0,2,0,0,2,18,0.14,EM-DAT بازسازی آماری,D
امارات,2015,0,0,1,0,2,3,75,0.0,EM-DAT بازسازی آماری,D
امارات,2016,1,0,1,0,0,2,7,0.08,EM-DAT بازسازی آماری,D
امارات,2017,0,0,1,0,0,1,12,0.17,EM-DAT بازسازی آماری,D
امارات,2018,0,0,0,1,1,2,34,0.0,EM-DAT بازسازی آماری,D
امارات,2019,0,0,1,0,2,3,312,0.05,EM-DAT بازسازی آماری,D
امارات,2020,0,0,0,1,0,1,20,0.0,EM-DAT بازسازی آماری,D
امارات,2021,0,0,0,1,0,1,18,0.0,EM-DAT بازسازی آماری,D
امارات,2022,1,0,1,0,0,2,27,0.07,EM-DAT بازسازی آماری,D
امارات,2023,0,0,1,1,0,2,35,0.09,EM-DAT بازسازی آماری,D
امارات,2024,0,0,1,3,0,4,124,0.03,EM-DAT بازسازی آماری,D
پاکستان,1991,8,1,5,1,2,17,2183,18.63,EM-DAT بازسازی آماری,D
پاکستان,1992,6,0,4,1,1,12,719,12.51,EM-DAT بازسازی آماری,D
پاکستان,1993,7,0,3,0,1,11,914,4.35,EM-DAT بازسازی آماری,D
پاکستان,1994,9,0,1,3,0,13,1376,3.18,EM-DAT بازسازی آماری,D
پاکستان,1995,5,1,1,0,1,8,167,16.17,EM-DAT بازسازی آماری,D
پاکستان,1996,3,0,0,0,0,3,640,1.36,EM-DAT بازسازی آماری,D
پاکستان,1997,9,0,4,0,0,13,1068,16.12,EM-DAT بازسازی آماری,D
پاکستان,1998,6,1,2,0,0,9,772,46.41,EM-DAT بازسازی آماری,D
پاکستان,1999,4,0,0,0,0,4,284,5.26,EM-DAT بازسازی آماری,D
پاکستان,2000,7,1,0,1,0,9,1547,23.97,EM-DAT بازسازی آماری,D
پاکستان,2001,5,1,2,1,2,11,220,6.73,EM-DAT بازسازی آماری,D
پاکستان,2002,6,0,1,0,0,7,524,2.57,EM-DAT بازسازی آماری,D
پاکستان,2003,5,1,2,0,0,8,1282,26.13,EM-DAT بازسازی آماری,D
پاکستان,2004,5,0,3,1,0,9,105,11.35,EM-DAT بازسازی آماری,D
پاکستان,2005,4,0,3,1,0,8,446,6.19,EM-DAT بازسازی آماری,D
پاکستان,2006,8,0,1,2,0,11,252,1.33,EM-DAT بازسازی آماری,D
پاکستان,2007,11,0,2,0,3,16,1687,1.29,EM-DAT بازسازی آماری,D
پاکستان,2008,4,0,2,0,1,7,231,0.29,EM-DAT بازسازی آماری,D
پاکستان,2009,13,1,3,0,0,17,126,32.36,EM-DAT بازسازی آماری,D
پاکستان,2010,9,0,5,0,1,15,1913,0.63,EM-DAT بازسازی آماری,D
پاکستان,2011,3,0,2,0,3,8,450,6.41,EM-DAT بازسازی آماری,D
پاکستان,2012,3,0,5,1,2,11,258,8.97,EM-DAT بازسازی آماری,D
پاکستان,2013,4,0,0,0,1,5,1551,2.5,EM-DAT بازسازی آماری,D
پاکستان,2014,5,0,4,0,0,9,158,12.1,EM-DAT بازسازی آماری,D
پاکستان,2015,7,0,2,0,0,9,1170,0.34,EM-DAT بازسازی آماری,D
پاکستان,2016,5,1,1,1,1,9,267,19.47,EM-DAT بازسازی آماری,D
پاکستان,2017,5,1,5,1,0,12,1000,17.56,EM-DAT بازسازی آماری,D
پاکستان,2018,7,0,3,1,0,11,1595,31.67,EM-DAT بازسازی آماری,D
پاکستان,2019,7,0,1,1,0,9,333,33.52,EM-DAT بازسازی آماری,D
پاکستان,2020,6,0,4,1,1,12,395,5.83,EM-DAT بازسازی آماری,D
پاکستان,2021,5,1,2,1,1,10,516,9.48,EM-DAT بازسازی آماری,D
پاکستان,2022,6,0,1,1,3,11,158,11.05,EM-DAT بازسازی آماری,D
پاکستان,2023,7,0,3,1,0,11,1412,0.61,EM-DAT بازسازی آماری,D
پاکستان,2024,7,0,5,1,1,14,1234,5.39,EM-DAT بازسازی آماری,D
هند,1991,10,0,5,4,1,20,864,26.05,EM-DAT بازسازی آماری,D
هند,1992,24,0,2,1,2,29,1454,14.05,EM-DAT بازسازی آماری,D
هند,1993,14,1,12,0,0,27,1143,75.95,EM-DAT بازسازی آماری,D
هند,1994,11,0,10,3,2,26,1051,39.57,EM-DAT بازسازی آماری,D
هند,1995,17,0,3,0,2,22,7025,230.68,EM-DAT بازسازی آماری,D
هند,1996,11,0,7,2,0,20,932,3.08,EM-DAT بازسازی آماری,D
هند,1997,10,0,8,1,2,21,2008,33.41,EM-DAT بازسازی آماری,D
هند,1998,11,0,8,2,0,21,4288,0.56,EM-DAT بازسازی آماری,D
هند,1999,8,0,9,1,2,20,2800,4.41,EM-DAT بازسازی آماری,D
هند,2000,13,0,8,0,0,21,4092,2.48,EM-DAT بازسازی آماری,D
هند,2001,8,0,4,1,3,16,398,14.43,EM-DAT بازسازی آماری,D
هند,2002,11,0,9,2,0,22,3578,9.97,EM-DAT بازسازی آماری,D
هند,2003,10,1,9,2,1,23,746,14.07,EM-DAT بازسازی آماری,D
هند,2004,8,0,6,2,0,16,2985,2.36,EM-DAT بازسازی آماری,D
هند,2005,13,1,3,3,0,20,441,1.53,EM-DAT بازسازی آماری,D
هند,2006,9,0,9,3,0,21,5259,28.8,EM-DAT بازسازی آماری,D
هند,2007,7,1,6,1,1,16,1529,69.81,EM-DAT بازسازی آماری,D
هند,2008,11,0,6,1,0,18,747,22.04,EM-DAT بازسازی آماری,D
هند,2009,8,0,4,2,2,16,1389,22.92,EM-DAT بازسازی آماری,D
هند,2010,8,0,4,3,0,15,2724,98.45,EM-DAT بازسازی آماری,D
هند,2011,8,0,5,0,1,14,1832,6.99,EM-DAT بازسازی آماری,D
هند,2012,13,0,6,3,3,25,4283,8.81,EM-DAT بازسازی آماری,D
هند,2013,13,0,6,4,2,25,2003,16.61,EM-DAT بازسازی آماری,D
هند,2014,13,1,9,1,0,24,1494,34.16,EM-DAT بازسازی آماری,D
هند,2015,11,0,7,0,0,18,5248,73.6,EM-DAT بازسازی آماری,D
هند,2016,11,0,6,2,0,19,3248,51.46,EM-DAT بازسازی آماری,D
هند,2017,11,1,4,2,3,21,2841,51.19,EM-DAT بازسازی آماری,D
هند,2018,13,1,5,0,2,21,4042,124.98,EM-DAT بازسازی آماری,D
هند,2019,13,0,4,2,2,21,7785,10.93,EM-DAT بازسازی آماری,D
هند,2020,8,0,3,1,1,13,209,35.26,EM-DAT بازسازی آماری,D
هند,2021,11,1,4,1,2,19,2179,83.71,EM-DAT بازسازی آماری,D
هند,2022,10,1,2,2,1,16,5858,82.03,EM-DAT بازسازی آماری,D
هند,2023,9,0,3,2,2,16,1029,19.33,EM-DAT بازسازی آماری,D
هند,2024,15,0,4,1,2,22,13322,43.3,EM-DAT بازسازی آماری,D
چین,1991,8,1,10,2,5,26,895,88.47,EM-DAT بازسازی آماری,D
چین,1992,12,0,10,2,3,27,15455,9.62,EM-DAT بازسازی آماری,D
چین,1993,12,0,11,3,0,26,772,18.74,EM-DAT بازسازی آماری,D
چین,1994,8,0,4,1,1,14,1170,48.12,EM-DAT بازسازی آماری,D
چین,1995,12,0,4,2,3,21,6510,122.41,EM-DAT بازسازی آماری,D
چین,1996,11,1,2,1,4,19,3552,23.56,EM-DAT بازسازی آماری,D
چین,1997,14,0,8,1,2,25,19026,5.87,EM-DAT بازسازی آماری,D
چین,1998,9,0,8,0,2,19,5237,36.78,EM-DAT بازسازی آماری,D
چین,1999,15,0,6,1,1,23,6858,151.64,EM-DAT بازسازی آماری,D
چین,2000,6,0,4,0,2,12,4633,3.1,EM-DAT بازسازی آماری,D
چین,2001,11,0,2,1,1,15,3700,6.51,EM-DAT بازسازی آماری,D
چین,2002,13,1,7,3,2,26,10138,53.36,EM-DAT بازسازی آماری,D
چین,2003,6,0,5,1,0,12,314,21.15,EM-DAT بازسازی آماری,D
چین,2004,8,1,10,3,2,24,3135,40.43,EM-DAT بازسازی آماری,D
چین,2005,11,0,5,2,4,22,1720,6.38,EM-DAT بازسازی آماری,D
چین,2006,9,1,7,0,3,20,2191,136.82,EM-DAT بازسازی آماری,D
چین,2007,8,1,9,3,3,24,1223,11.13,EM-DAT بازسازی آماری,D
چین,2008,11,1,5,0,1,18,5779,119.43,EM-DAT بازسازی آماری,D
چین,2009,14,0,7,1,3,25,2929,33.12,EM-DAT بازسازی آماری,D
چین,2010,10,0,12,2,1,25,10300,35.83,EM-DAT بازسازی آماری,D
چین,2011,14,0,7,0,1,22,6226,49.47,EM-DAT بازسازی آماری,D
چین,2012,9,0,3,1,3,16,3531,12.87,EM-DAT بازسازی آماری,D
چین,2013,13,0,9,3,0,25,6082,114.36,EM-DAT بازسازی آماری,D
چین,2014,11,0,8,1,1,21,929,23.54,EM-DAT بازسازی آماری,D
چین,2015,10,0,6,2,6,24,7032,40.39,EM-DAT بازسازی آماری,D
چین,2016,11,0,13,3,0,27,5143,11.38,EM-DAT بازسازی آماری,D
چین,2017,11,1,11,0,2,25,4240,88.71,EM-DAT بازسازی آماری,D
چین,2018,10,0,14,2,1,27,1565,11.45,EM-DAT بازسازی آماری,D
چین,2019,13,0,10,3,2,28,8534,69.59,EM-DAT بازسازی آماری,D
چین,2020,9,0,6,3,2,20,5055,37.84,EM-DAT بازسازی آماری,D
چین,2021,13,0,9,1,1,24,4622,27.09,EM-DAT بازسازی آماری,D
چین,2022,13,1,8,0,3,25,1887,39.87,EM-DAT بازسازی آماری,D
چین,2023,19,0,6,2,1,28,13183,185.85,EM-DAT بازسازی آماری,D
چین,2024,10,0,8,1,1,20,1578,5.82,EM-DAT بازسازی آماری,D
قزاقستان,1991,1,0,1,0,0,2,9,0.04,EM-DAT بازسازی آماری,D
قزاقستان,1992,0,1,3,1,0,5,17,3.38,EM-DAT بازسازی آماری,D
قزاقستان,1993,4,0,2,2,0,8,132,0.14,EM-DAT بازسازی آماری,D
قزاقستان,1994,3,1,2,0,2,8,43,4.07,EM-DAT بازسازی آماری,D
قزاقستان,1995,2,1,2,0,0,5,17,0.17,EM-DAT بازسازی آماری,D
قزاقستان,1996,0,1,1,1,0,3,35,1.06,EM-DAT بازسازی آماری,D
قزاقستان,1997,3,0,1,1,0,5,41,0.03,EM-DAT بازسازی آماری,D
قزاقستان,1998,0,0,1,2,1,4,121,0.0,EM-DAT بازسازی آماری,D
قزاقستان,1999,3,0,1,2,1,7,89,0.05,EM-DAT بازسازی آماری,D
قزاقستان,2000,1,0,0,0,0,1,18,0.01,EM-DAT بازسازی آماری,D
قزاقستان,2001,0,1,1,3,0,5,128,1.03,EM-DAT بازسازی آماری,D
قزاقستان,2002,2,1,2,2,0,7,102,0.88,EM-DAT بازسازی آماری,D
قزاقستان,2003,0,1,0,1,0,2,3,2.3,EM-DAT بازسازی آماری,D
قزاقستان,2004,4,1,3,1,0,9,67,0.24,EM-DAT بازسازی آماری,D
قزاقستان,2005,2,0,1,0,1,4,229,0.03,EM-DAT بازسازی آماری,D
قزاقستان,2006,1,0,0,1,0,2,40,0.18,EM-DAT بازسازی آماری,D
قزاقستان,2007,1,0,0,0,0,1,2,0.0,EM-DAT بازسازی آماری,D
قزاقستان,2008,1,0,1,1,1,4,260,0.02,EM-DAT بازسازی آماری,D
قزاقستان,2009,2,0,1,1,0,4,45,0.13,EM-DAT بازسازی آماری,D
