file,steps,details,size
fix_environment_final.py,Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Plant Selection & Crop Modeling"": 3, ""Irrigation & Water Requirement"": 1, ""General/Simulation"": 5}",7400
fix_getattr_recursion.py,General/Simulation,"{""General/Simulation"": 3}",5438
fix_test_db_pool.py,Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1}",1483
fix_test_session_import.py,Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1}",2157
INVESTOR_PITCH.md,Soil; Climate; Carbon & RothC; Plant Selection & Crop Modeling; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Soil"": 1, ""Climate"": 7, ""Carbon & RothC"": 11, ""Plant Selection & Crop Modeling"": 2, ""Hydraulic & Structure Design"": 1, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 5, ""Monitoring & Calibration"": 1, ""General/Simulation"": 3}",6679
LEGAL_COMPLIANCE.md,Hydraulic & Structure Design; Monitoring & Calibration; General/Simulation,"{""Hydraulic & Structure Design"": 3, ""Monitoring & Calibration"": 5, ""General/Simulation"": 2}",6597
pnpm-lock.yaml,Land Recognition & GIS; Livelihood & Rural Development,"{""Land Recognition & GIS"": 12, ""Livelihood & Rural Development"": 8}",177837
PRESENTATION.md,Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Optimization & Scenario; Economy & Carbon MRV; Livelihood & Rural Development; Monitoring & Calibration; General/Simulation,"{""Soil"": 3, ""Climate"": 7, ""Water Resources"": 2, ""Carbon & RothC"": 16, ""Plant Selection & Crop Modeling"": 7, ""Irrigation & Water Requirement"": 1, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 5, ""Livelihood & Rural Development"": 1, ""Monitoring & Calibration"": 2, ""General/Simulation"": 3}",9684
PROJECT_SUMMARY.md,Topography & DEM; Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Optimization & Scenario; Economy & Carbon MRV; Livelihood & Rural Development; Monitoring & Calibration; General/Simulation,"{""Topography & DEM"": 1, ""Soil"": 2, ""Climate"": 6, ""Water Resources"": 2, ""Carbon & RothC"": 9, ""Plant Selection & Crop Modeling"": 5, ""Irrigation & Water Requirement"": 2, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 5, ""Livelihood & Rural Development"": 2, ""Monitoring & Calibration"": 1, ""General/Simulation"": 8}",7209
pyproject.toml,Land Recognition & GIS; Climate; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 10, ""Climate"": 2, ""Monitoring & Calibration"": 1, ""General/Simulation"": 2}",3940
README.md,Land Recognition & GIS; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Irrigation & Water Requirement; Optimization & Scenario; Economy & Carbon MRV; Livelihood & Rural Development; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 1, ""Soil"": 4, ""Climate"": 2, ""Water Resources"": 3, ""Erosion (RUSLE)"": 4, ""Carbon & RothC"": 6, ""Irrigation & Water Requirement"": 2, ""Optimization & Scenario"": 2, ""Economy & Carbon MRV"": 3, ""Livelihood & Rural Development"": 1, ""Monitoring & Calibration"": 2, ""General/Simulation"": 7}",5578
remove_base_placeholder.py,Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1}",2039
repo_analysis.csv,Land Recognition & GIS; Topography & DEM; Water Resources; Livelihood & Rural Development,"{""Land Recognition & GIS"": 7, ""Topography & DEM"": 1, ""Water Resources"": 1, ""Livelihood & Rural Development"": 2}",601
repo_analysis.json,Land Recognition & GIS; Topography & DEM; Water Resources; Livelihood & Rural Development; General/Simulation,"{""Land Recognition & GIS"": 16, ""Topography & DEM"": 2, ""Water Resources"": 1, ""Livelihood & Rural Development"": 4, ""General/Simulation"": 1}",6780
repo_analyzer.py,Land Recognition & GIS; Topography & DEM; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; Livelihood & Rural Development; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 12, ""Topography & DEM"": 11, ""Soil"": 9, ""Climate"": 8, ""Water Resources"": 14, ""Erosion (RUSLE)"": 7, ""Carbon & RothC"": 13, ""Plant Selection & Crop Modeling"": 14, ""Irrigation & Water Requirement"": 11, ""Hydraulic & Structure Design"": 11, ""Optimization & Scenario"": 9, ""Economy & Carbon MRV"": 9, ""Livelihood & Rural Development"": 8, ""Monitoring & Calibration"": 10, ""General/Simulation"": 10}",12554
requirements-optional.txt,Land Recognition & GIS; Climate,"{""Land Recognition & GIS"": 3, ""Climate"": 1}",561
requirements-research.txt,Land Recognition & GIS; Climate,"{""Land Recognition & GIS"": 2, ""Climate"": 1}",188
requirements.lock.txt,Land Recognition & GIS; Climate; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Livelihood & Rural Development,"{""Land Recognition & GIS"": 5, ""Climate"": 2, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""Livelihood & Rural Development"": 1}",9963
adapters\engine_adapter.py,Topography & DEM,"{""Topography & DEM"": 1}",1806
adapters\hydroma_adapter.py,Soil; Climate; Water Resources; Hydraulic & Structure Design; General/Simulation,"{""Soil"": 2, ""Climate"": 2, ""Water Resources"": 5, ""Hydraulic & Structure Design"": 1, ""General/Simulation"": 1}",3407
alembic\env.py,General/Simulation,"{""General/Simulation"": 1}",2148
analysis.json\analysis_20260821_182923.json,Soil; Climate; Carbon & RothC; Hydraulic & Structure Design; General/Simulation,"{""Soil"": 2, ""Climate"": 8, ""Carbon & RothC"": 1, ""Hydraulic & Structure Design"": 5, ""General/Simulation"": 1}",13414
benchmarks\benchmark.py,Optimization & Scenario,"{""Optimization & Scenario"": 1}",4460
benchmarks\benchmark_report.md,Soil; Water Resources; Erosion (RUSLE); Hydraulic & Structure Design; Optimization & Scenario,"{""Soil"": 1, ""Water Resources"": 1, ""Erosion (RUSLE)"": 1, ""Hydraulic & Structure Design"": 1, ""Optimization & Scenario"": 1}",2377
contracts\package-lock.json,Land Recognition & GIS,"{""Land Recognition & GIS"": 20}",154687
contracts\simulation.py,Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; General/Simulation,"{""Erosion (RUSLE)"": 2, ""Carbon & RothC"": 2, ""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 2, ""Hydraulic & Structure Design"": 4, ""General/Simulation"": 12}",3349
database\adapter.py,Land Recognition & GIS; Soil; General/Simulation,"{""Land Recognition & GIS"": 10, ""Soil"": 1, ""General/Simulation"": 1}",6167
database\analytics.py,Optimization & Scenario,"{""Optimization & Scenario"": 6}",1785
database\config.py,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 1}",2338
database\config.py.bak_test_fix,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 1}",2155
database\create_test_data.py,Soil; Plant Selection & Crop Modeling; Optimization & Scenario,"{""Soil"": 2, ""Plant Selection & Crop Modeling"": 1, ""Optimization & Scenario"": 1}",4365
database\models.py,General/Simulation,"{""General/Simulation"": 1}",4190
database\models.py.bak_ai,General/Simulation,"{""General/Simulation"": 1}",8790
database\models.py.bak_audit,General/Simulation,"{""General/Simulation"": 1}",8827
database\models.py.bak_central,General/Simulation,"{""General/Simulation"": 1}",8210
database\models.py.bak_clean_dup,General/Simulation,"{""General/Simulation"": 1}",7283
database\models.py.bak_dynamic_final,General/Simulation,"{""General/Simulation"": 1}",2741
database\models.py.bak_final_env,General/Simulation,"{""General/Simulation"": 1}",9083
database\models.py.bak_final_user_model,General/Simulation,"{""General/Simulation"": 1}",8827
database\models.py.bak_hash,General/Simulation,"{""General/Simulation"": 1}",8755
database\models.py.bak_missing_models,General/Simulation,"{""General/Simulation"": 1}",1025
database\models.py.bak_passhash,General/Simulation,"{""General/Simulation"": 1}",8828
database\models.py.bak_recursion_fix,General/Simulation,"{""General/Simulation"": 1}",2081
database\models.py.bak_remove_base,General/Simulation,"{""General/Simulation"": 1}",7546
database\models.py.bak_user_id,General/Simulation,"{""General/Simulation"": 1}",8828
DELIVERY\README.md,Soil; Climate; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; General/Simulation,"{""Soil"": 1, ""Climate"": 1, ""Erosion (RUSLE)"": 4, ""Carbon & RothC"": 1, ""Plant Selection & Crop Modeling"": 1, ""General/Simulation"": 1}",4226
docs\API_REFERENCE.md,Land Recognition & GIS; Soil; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling,"{""Land Recognition & GIS"": 1, ""Soil"": 4, ""Water Resources"": 2, ""Carbon & RothC"": 14, ""Plant Selection & Crop Modeling"": 1}",3694
docs\ARCHITECTURE.md,Land Recognition & GIS; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 3, ""Soil"": 6, ""Climate"": 5, ""Water Resources"": 8, ""Erosion (RUSLE)"": 4, ""Carbon & RothC"": 8, ""Plant Selection & Crop Modeling"": 7, ""Irrigation & Water Requirement"": 6, ""Hydraulic & Structure Design"": 2, ""Optimization & Scenario"": 6, ""Economy & Carbon MRV"": 5, ""Monitoring & Calibration"": 6, ""General/Simulation"": 4}",8367
docs\ARCHITECTURE_STANDARD.md,Land Recognition & GIS; Soil; Climate; Livelihood & Rural Development; General/Simulation,"{""Land Recognition & GIS"": 1, ""Soil"": 2, ""Climate"": 2, ""Livelihood & Rural Development"": 1, ""General/Simulation"": 1}",3234
docs\file_structure.md,Land Recognition & GIS; Topography & DEM; Water Resources; Erosion (RUSLE); Irrigation & Water Requirement; Hydraulic & Structure Design; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 4, ""Topography & DEM"": 3, ""Water Resources"": 1, ""Erosion (RUSLE)"": 1, ""Irrigation & Water Requirement"": 3, ""Hydraulic & Structure Design"": 1, ""Economy & Carbon MRV"": 1, ""Monitoring & Calibration"": 2, ""General/Simulation"": 1}",1144
docs\HGW_HONESTY_NOTE.md,Climate; Water Resources; Economy & Carbon MRV; Monitoring & Calibration,"{""Climate"": 6, ""Water Resources"": 3, ""Economy & Carbon MRV"": 1, ""Monitoring & Calibration"": 1}",2948
docs\HYDROMA_MODELS.md,Land Recognition & GIS; Topography & DEM; Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 1, ""Topography & DEM"": 1, ""Soil"": 15, ""Climate"": 5, ""Water Resources"": 13, ""Carbon & RothC"": 14, ""Plant Selection & Crop Modeling"": 24, ""Irrigation & Water Requirement"": 12, ""Economy & Carbon MRV"": 1, ""Monitoring & Calibration"": 4, ""General/Simulation"": 7}",9402
docs\NEW_MODULES_API.md,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 1}",714
docs\ROADMAP.md,Soil; Climate; Carbon & RothC; Plant Selection & Crop Modeling; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Soil"": 2, ""Climate"": 3, ""Carbon & RothC"": 5, ""Plant Selection & Crop Modeling"": 4, ""Economy & Carbon MRV"": 1, ""Monitoring & Calibration"": 1, ""General/Simulation"": 2}",3269
docs\SERVICE_MODULES.md,Land Recognition & GIS; Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Economy & Carbon MRV; Monitoring & Calibration,"{""Land Recognition & GIS"": 1, ""Soil"": 4, ""Climate"": 4, ""Water Resources"": 2, ""Carbon & RothC"": 4, ""Plant Selection & Crop Modeling"": 1, ""Economy & Carbon MRV"": 5, ""Monitoring & Calibration"": 3}",4581
docs\USER_GUIDE.md,Topography & DEM; Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Hydraulic & Structure Design; Optimization & Scenario; General/Simulation,"{""Topography & DEM"": 1, ""Soil"": 6, ""Climate"": 8, ""Water Resources"": 4, ""Carbon & RothC"": 8, ""Plant Selection & Crop Modeling"": 7, ""Hydraulic & Structure Design"": 2, ""Optimization & Scenario"": 3, ""General/Simulation"": 2}",4776
econojin.egg-info\PKG-INFO,Land Recognition & GIS; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Optimization & Scenario; Livelihood & Rural Development; General/Simulation,"{""Land Recognition & GIS"": 6, ""Soil"": 4, ""Climate"": 3, ""Water Resources"": 1, ""Erosion (RUSLE)"": 4, ""Carbon & RothC"": 4, ""Optimization & Scenario"": 1, ""Livelihood & Rural Development"": 1, ""General/Simulation"": 7}",6649
econojin.egg-info\requires.txt,Land Recognition & GIS; Climate,"{""Land Recognition & GIS"": 4, ""Climate"": 1}",963
econojin.egg-info\SOURCES.txt,Land Recognition & GIS; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Optimization & Scenario; Economy & Carbon MRV; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 4, ""Soil"": 14, ""Climate"": 2, ""Water Resources"": 7, ""Erosion (RUSLE)"": 4, ""Carbon & RothC"": 6, ""Plant Selection & Crop Modeling"": 4, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 10, ""Monitoring & Calibration"": 1, ""General/Simulation"": 12}",10283
engine\README.md,Topography & DEM; Soil; Climate; Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Monitoring & Calibration; General/Simulation,"{""Topography & DEM"": 5, ""Soil"": 1, ""Climate"": 2, ""Water Resources"": 3, ""Plant Selection & Crop Modeling"": 1, ""Irrigation & Water Requirement"": 1, ""Hydraulic & Structure Design"": 1, ""Optimization & Scenario"": 1, ""Monitoring & Calibration"": 1, ""General/Simulation"": 2}",2018
engine\__init__.py,Hydraulic & Structure Design,"{""Hydraulic & Structure Design"": 1}",605
frontend\fix.py,Soil; General/Simulation,"{""Soil"": 1, ""General/Simulation"": 1}",2983
htmlcov\class_index.html,Soil; Water Resources; Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Soil"": 1, ""Water Resources"": 1, ""Carbon & RothC"": 3, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 1}",194673
htmlcov\coverage_html_cb_188fc9a4.js,Land Recognition & GIS,"{""Land Recognition & GIS"": 2}",26185
htmlcov\function_index.html,Soil; Water Resources; Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Soil"": 6, ""Water Resources"": 3, ""Carbon & RothC"": 22, ""Economy & Carbon MRV"": 12, ""General/Simulation"": 4}",806717
htmlcov\index.html,Soil; Water Resources; Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Soil"": 1, ""Water Resources"": 1, ""Carbon & RothC"": 3, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 1}",106251
htmlcov\status.json,Soil; Water Resources; Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Soil"": 1, ""Water Resources"": 1, ""Carbon & RothC"": 3, ""Economy & Carbon MRV"": 1, ""General/Simulation"": 1}",52869
htmlcov\z_1033b0ecca273094_ivr_engine_py.html,Soil; Climate; Plant Selection & Crop Modeling,"{""Soil"": 2, ""Climate"": 7, ""Plant Selection & Crop Modeling"": 2}",67440
htmlcov\z_1033b0ecca273094_stt_provider_py.html,General/Simulation,"{""General/Simulation"": 1}",22595
htmlcov\z_1033b0ecca273094_tts_provider_py.html,General/Simulation,"{""General/Simulation"": 1}",22907
htmlcov\z_1541ab9a5b2b9dff_models_py.html,General/Simulation,"{""General/Simulation"": 4}",12724
htmlcov\z_165fcb5f55db4fa5_agrovoc_py.html,Land Recognition & GIS; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Monitoring & Calibration; General/Simulation,"{""Land Recognition & GIS"": 2, ""Soil"": 16, ""Climate"": 11, ""Water Resources"": 10, ""Erosion (RUSLE)"": 2, ""Carbon & RothC"": 10, ""Plant Selection & Crop Modeling"": 11, ""Irrigation & Water Requirement"": 3, ""Monitoring & Calibration"": 1, ""General/Simulation"": 3}",60613
htmlcov\z_165fcb5f55db4fa5_citations_py.html,General/Simulation,"{""General/Simulation"": 9}",17524
htmlcov\z_165fcb5f55db4fa5_datasets_py.html,Climate; Water Resources; Plant Selection & Crop Modeling; General/Simulation,"{""Climate"": 3, ""Water Resources"": 1, ""Plant Selection & Crop Modeling"": 1, ""General/Simulation"": 1}",26585
htmlcov\z_165fcb5f55db4fa5_zenodo_py.html,Soil; Climate; Water Resources; Carbon & RothC; General/Simulation,"{""Soil"": 1, ""Climate"": 1, ""Water Resources"": 1, ""Carbon & RothC"": 1, ""General/Simulation"": 2}",33608
htmlcov\z_1e32d60095dd8626_oracle_py.html,Carbon & RothC,"{""Carbon & RothC"": 3}",18687
htmlcov\z_1e32d60095dd8626_verification_py.html,Carbon & RothC; Optimization & Scenario,"{""Carbon & RothC"": 5, ""Optimization & Scenario"": 1}",32811
htmlcov\z_20a668043242ca58_carbon_registry_py.html,Carbon & RothC; Economy & Carbon MRV; General/Simulation,"{""Carbon & RothC"": 12, ""Economy & Carbon MRV"": 3, ""General/Simulation"": 1}",69733
htmlcov\z_20a668043242ca58_web3_provider_py.html,General/Simulation,"{""General/Simulation"": 1}",22109
htmlcov\z_2ddfc9fed157cba7_models_py.html,General/Simulation,"{""General/Simulation"": 4}",12718
htmlcov\z_30d8034fae0c87bb_bale_py.html,General/Simulation,"{""General/Simulation"": 2}",19218
htmlcov\z_30d8034fae0c87bb_rubika_py.html,General/Simulation,"{""General/Simulation"": 2}",12116
htmlcov\z_31ebb35e5bbc9bd9_land_profile_py.html,General/Simulation,"{""General/Simulation"": 2}",26125
htmlcov\z_31ebb35e5bbc9bd9_service_py.html,Topography & DEM; Soil; Climate; Water Resources,"{""Topography & DEM"": 5, ""Soil"": 4, ""Climate"": 4, ""Water Resources"": 11}",117655
htmlcov\z_31ebb35e5bbc9bd9_terrain_analysis_py.html,Topography & DEM; Irrigation & Water Requirement; General/Simulation,"{""Topography & DEM"": 5, ""Irrigation & Water Requirement"": 1, ""General/Simulation"": 2}",11206
htmlcov\z_3f9969a11c1534ec_models_py.html,General/Simulation,"{""General/Simulation"": 4}",12678
htmlcov\z_570527c79779b0f7_distribution_py.html,Carbon & RothC; Livelihood & Rural Development,"{""Carbon & RothC"": 1, ""Livelihood & Rural Development"": 1}",15309
htmlcov\z_570527c79779b0f7_service_py.html,Livelihood & Rural Development,"{""Livelihood & Rural Development"": 1}",28709
htmlcov\z_63a408d6d0320266_smart_mapper_py.html,Land Recognition & GIS; Soil; Climate; Water Resources; Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Land Recognition & GIS"": 1, ""Soil"": 2, ""Climate"": 1, ""Water Resources"": 5, ""Plant Selection & Crop Modeling"": 14, ""Irrigation & Water Requirement"": 13}",50545
htmlcov\z_63a408d6d0320266_test_hydroma_motors_py.html,Land Recognition & GIS; Soil; Climate; Plant Selection & Crop Modeling; Economy & Carbon MRV,"{""Land Recognition & GIS"": 2, ""Soil"": 1, ""Climate"": 1, ""Plant Selection & Crop Modeling"": 5, ""Economy & Carbon MRV"": 1}",49774
htmlcov\z_661207373540063f_cpp_bridge_py.html,Soil; Climate,"{""Soil"": 1, ""Climate"": 1}",36712
htmlcov\z_661207373540063f_land_models_py.html,Land Recognition & GIS,"{""Land Recognition & GIS"": 2}",27928
htmlcov\z_661207373540063f_pinn_surrogate_py.html,Plant Selection & Crop Modeling; Irrigation & Water Requirement; General/Simulation,"{""Plant Selection & Crop Modeling"": 3, ""Irrigation & Water Requirement"": 1, ""General/Simulation"": 4}",33357
htmlcov\z_661207373540063f_registry_py.html,Land Recognition & GIS; Topography & DEM; Soil; Climate; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; General/Simulation,"{""Land Recognition & GIS"": 2, ""Topography & DEM"": 1, ""Soil"": 16, ""Climate"": 6, ""Water Resources"": 12, ""Erosion (RUSLE)"": 6, ""Carbon & RothC"": 16, ""Plant Selection & Crop Modeling"": 10, ""Irrigation & Water Requirement"": 4, ""Hydraulic & Structure Design"": 1, ""Optimization & Scenario"": 4, ""General/Simulation"": 12}",178845
htmlcov\z_680300c61e564608_client_py.html,General/Simulation,"{""General/Simulation"": 1}",20640
htmlcov\z_680300c61e564608_models_py.html,Land Recognition & GIS; Carbon & RothC; Economy & Carbon MRV,"{""Land Recognition & GIS"": 1, ""Carbon & RothC"": 2, ""Economy & Carbon MRV"": 1}",23034
htmlcov\z_6d406ceef5d5c4ad_models_py.html,General/Simulation,"{""General/Simulation"": 4}",12709
htmlcov\z_746efe9727c18c6e_dependencies_py.html,Plant Selection & Crop Modeling,"{""Plant Selection & Crop Modeling"": 1}",9243
htmlcov\z_746efe9727c18c6e_main_py.html,Soil; Climate; Water Resources; Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Monitoring & Calibration; General/Simulation,"{""Soil"": 6, ""Climate"": 1, ""Water Resources"": 4, ""Carbon & RothC"": 5, ""Plant Selection & Crop Modeling"": 3, ""Irrigation & Water Requirement"": 1, ""Monitoring & Calibration"": 1, ""General/Simulation"": 3}",89985
htmlcov\z_7ab3d6253c297be7_models_py.html,General/Simulation,"{""General/Simulation"": 4}",12656
htmlcov\z_968c41e5add87523_engine_py.html,Soil; Climate; Water Resources; Plant Selection & Crop Modeling,"{""Soil"": 4, ""Climate"": 5, ""Water Resources"": 6, ""Plant Selection & Crop Modeling"": 5}",138977
htmlcov\z_968c41e5add87523_sms_parser_py.html,Soil; Climate; Plant Selection & Crop Modeling,"{""Soil"": 9, ""Climate"": 11, ""Plant Selection & Crop Modeling"": 9}",73967
htmlcov\z_b8a64243b2a6110e_farm_py.html,Soil,"{""Soil"": 9}",62479
htmlcov\z_b8a64243b2a6110e_motors_py.html,Land Recognition & GIS; Topography & DEM; Soil; Water Resources; Erosion (RUSLE); Carbon & RothC; Plant Selection & Crop Modeling; Irrigation & Water Requirement; Hydraulic & Structure Design; Optimization & Scenario; Economy & Carbon MRV; General/Simulation,"{""Land Recognition & GIS"": 5, ""Topography & DEM"": 2, ""Soil"": 2, ""Water Resources"": 2, ""Erosion (RUSLE)"": 2, ""Carbon & RothC"": 4, ""Plant Selection & Crop Modeling"": 8, ""Irrigation & Water Requirement"": 3, ""Hydraulic & Structure Design"": 2, ""Optimization & Scenario"": 1, ""Economy & Carbon MRV"": 3, ""General/Simulation"": 1}",23946
htmlcov\z_bd533f29785bb5d6_base_py.html,Plant Selection & Crop Modeling; Irrigation & Water Requirement,"{""Plant Selection & Crop Modeling"": 2, ""Irrigation & Water Requirement"": 2}",37269
