site_id,month,tmax_c,tmin_c,tavg_c,precip_mm,et0_mm,dtr_c,rh_pct,sunshine_h_day,wind_ms
SITE003,8,35.4,15.4,25.4,1.2,214.0,20.0,32.0,9.0,3.2
SITE003,9,31.1,11.1,21.1,3.5,164.0,20.0,33.0,9.0,3.2
SITE003,10,25.2,5.2,15.2,16.3,119.0,20.0,35.0,8.8,3.2
SITE003,11,18.1,0.5,9.3,55.9,72.0,17.6,42.0,8.3,3.2
SITE003,12,13.0,-3.0,5.0,79.2,53.0,16.0,46.0,8.0,3.2
SITE004,1,14.2,-1.5,6.4,52.6,59.0,15.6,67.0,6.0,2.5
SITE004,2,15.7,-0.2,7.7,49.2,70.0,16.0,66.0,6.0,2.5
SITE004,3,19.8,3.3,11.5,44.1,110.0,16.5,65.0,6.1,2.5
SITE004,4,25.8,7.7,16.7,28.9,153.0,18.1,62.0,6.4,2.5
SITE004,5,31.6,12.3,21.9,17.0,203.0,19.3,60.0,6.5,2.5
SITE004,6,35.7,15.7,25.7,5.1,225.0,20.0,57.0,6.7,2.5
SITE004,7,37.1,17.1,27.1,1.7,237.0,20.0,56.0,6.8,2.5
SITE004,8,35.7,15.7,25.7,3.4,215.0,20.0,57.0,6.7,2.5
SITE004,9,31.7,12.2,21.9,15.3,165.0,19.5,59.0,6.6,2.5
SITE004,10,25.5,8.0,16.7,34.0,117.0,17.6,63.0,6.3,2.5
SITE004,11,19.6,3.5,11.5,47.5,75.0,16.2,66.0,6.1,2.5
SITE004,12,15.7,-0.2,7.7,49.2,60.0,16.0,66.0,6.0,2.5
SITE005,1,12.8,-3.2,4.8,34.3,56.0,16.0,67.0,6.0,2.5
SITE005,2,14.4,-1.9,6.2,32.1,66.0,16.4,66.0,6.0,2.5
SITE005,3,18.7,1.8,10.3,28.8,106.0,16.9,65.0,6.1,2.5
SITE005,4,25.0,6.5,15.8,18.8,150.0,18.5,62.0,6.4,2.5
SITE005,5,31.2,11.4,21.3,11.1,202.0,19.8,60.0,6.5,2.5
SITE005,6,35.3,15.3,25.3,3.3,223.0,20.0,57.0,6.7,2.5
SITE005,7,36.7,16.7,26.7,1.1,235.0,20.0,56.0,6.8,2.5
SITE005,8,35.3,15.3,25.3,2.2,213.0,20.0,57.0,6.7,2.5
SITE005,9,31.2,11.3,21.3,10.0,164.0,20.0,59.0,6.6,2.5
SITE005,10,24.8,6.8,15.8,22.1,114.0,18.0,63.0,6.3,2.5
SITE005,11,18.5,2.0,10.3,31.0,72.0,16.5,66.0,6.1,2.5
SITE005,12,14.4,-1.9,6.2,32.1,56.0,16.4,66.0,6.0,2.5
SITE006,1,13.2,-2.8,5.2,68.7,57.0,16.0,67.0,6.0,2.5
SITE006,2,14.8,-1.5,6.6,64.2,67.0,16.4,66.0,6.0,2.5
SITE006,3,19.1,2.2,10.6,57.6,108.0,16.9,65.0,6.1,2.5
SITE006,4,25.4,6.9,16.1,37.6,152.0,18.5,62.0,6.4,2.5
SITE006,5,31.5,11.7,21.6,22.1,204.0,19.8,60.0,6.5,2.5
SITE006,6,35.6,15.6,25.6,6.6,225.0,20.0,57.0,6.7,2.5
SITE006,7,37.1,17.1,27.1,2.2,236.0,20.0,56.0,6.8,2.5
SITE006,8,35.6,15.6,25.6,4.4,215.0,20.0,57.0,6.7,2.5
SITE006,9,31.6,11.6,21.6,19.9,166.0,20.0,59.0,6.6,2.5
SITE006,10,25.1,7.1,16.1,44.3,116.0,18.0,63.0,6.3,2.5
SITE006,11,18.9,2.4,10.6,62.0,73.0,16.5,66.0,6.1,2.5
SITE006,12,14.8,-1.5,6.6,64.2,58.0,16.4,66.0,6.0,2.5
SITE007,1,12.2,-5.7,3.2,34.4,45.0,17.8,41.0,8.3,3.2
SITE007,2,13.8,-4.2,4.8,32.9,56.0,18.0,41.0,8.3,3.2
SITE007,3,17.3,0.5,8.9,43.4,92.0,16.8,44.0,8.1,3.2
SITE007,4,23.4,5.8,14.6,35.9,136.0,17.6,42.0,8.3,3.2
SITE007,5,30.2,10.4,20.3,16.5,197.0,19.8,36.0,8.7,3.2
SITE007,6,34.5,14.5,24.5,3.0,222.0,20.0,33.0,8.9,3.2
SITE007,7,36.0,16.0,26.0,0.7,232.0,20.0,32.0,9.0,3.2
SITE007,8,34.5,14.5,24.5,0.7,205.0,20.0,32.0,9.0,3.2
SITE007,9,30.3,10.3,20.3,2.2,150.0,20.0,33.0,9.0,3.2
SITE007,10,24.6,4.6,14.6,10.5,103.0,20.0,35.0,8.8,3.2
SITE007,11,17.8,0.1,8.9,35.9,58.0,17.6,42.0,8.3,3.2
SITE007,12,12.8,-3.2,4.8,50.9,42.0,16.0,46.0,8.0,3.2
SITE008,1,9.8,-8.0,0.9,21.8,40.0,17.8,41.0,8.3,3.2
SITE008,2,11.5,-6.5,2.5,20.8,51.0,18.0,41.0,8.3,3.2
SITE008,3,15.3,-1.5,6.9,27.5,85.0,16.8,44.0,8.1,3.2
SITE008,4,21.7,4.1,12.9,22.7,129.0,17.6,42.0,8.3,3.2
SITE008,5,28.8,9.0,18.9,10.4,190.0,19.8,36.0,8.7,3.2
SITE008,6,33.3,13.3,23.3,1.9,216.0,20.0,33.0,8.9,3.2
SITE008,7,35.0,15.0,25.0,0.5,227.0,20.0,32.0,9.0,3.2
SITE008,8,33.3,13.3,23.3,0.5,200.0,20.0,32.0,9.0,3.2
SITE008,9,28.9,8.9,18.9,1.4,145.0,20.0,33.0,9.0,3.2
SITE008,10,22.9,2.9,12.9,6.6,98.0,20.0,35.0,8.8,3.2
SITE008,11,15.7,-1.9,6.9,22.7,54.0,17.6,42.0,8.3,3.2
SITE008,12,10.5,-5.5,2.5,32.2,38.0,16.0,46.0,8.0,3.2
SITE009,1,10.1,-7.7,1.2,45.4,40.0,17.8,41.0,8.3,3.2
SITE009,2,11.8,-6.2,2.8,43.4,51.0,18.0,41.0,8.3,3.2
SITE009,3,15.6,-1.2,7.2,57.2,86.0,16.8,44.0,8.1,3.2
SITE009,4,22.0,4.4,13.2,47.3,130.0,17.6,42.0,8.3,3.2
SITE009,5,29.1,9.3,19.2,21.7,191.0,19.8,36.0,8.7,3.2
SITE009,6,33.6,13.6,23.6,3.9,217.0,20.0,33.0,8.9,3.2
SITE009,7,35.2,15.2,25.2,1.0,228.0,20.0,32.0,9.0,3.2
SITE009,8,33.6,13.6,23.6,1.0,201.0,20.0,32.0,9.0,3.2
SITE009,9,29.2,9.2,19.2,3.0,146.0,20.0,33.0,9.0,3.2
SITE009,10,23.2,3.2,13.2,13.8,98.0,20.0,35.0,8.8,3.2
SITE009,11,16.0,-1.6,7.2,47.3,55.0,17.6,42.0,8.3,3.2
SITE009,12,10.8,-5.2,2.8,67.0,38.0,16.0,46.0,8.0,3.2
SITE010,1,27.6,11.6,19.6,51.3,85.0,15.9,41.0,8.3,3.2
SITE010,2,28.9,12.8,20.9,49.1,99.0,16.1,41.0,8.3,3.2
SITE010,3,31.8,16.7,24.2,64.7,145.0,15.1,44.0,8.1,3.2
SITE010,4,36.7,20.9,28.8,53.5,190.0,15.8,42.0,8.3,3.2
SITE010,5,42.3,24.6,33.5,24.5,251.0,17.7,36.0,8.7,3.2
SITE010,6,46.4,27.3,36.8,4.5,278.0,19.0,33.0,8.9,3.2
SITE010,7,47.7,28.4,38.1,1.1,290.0,19.3,32.0,9.0,3.2
SITE010,8,46.5,27.2,36.8,1.1,263.0,19.3,32.0,9.0,3.2
SITE010,9,43.0,23.9,33.5,3.3,206.0,19.1,33.0,9.0,3.2
SITE010,10,38.0,19.7,28.8,15.6,153.0,18.3,35.0,8.8,3.2
SITE010,11,32.1,16.3,24.2,53.5,98.0,15.8,42.0,8.3,3.2
SITE010,12,28.0,13.7,20.9,75.8,78.0,14.3,46.0,8.0,3.2
SITE011,1,27.1,10.5,18.8,35.6,86.0,16.6,41.0,8.3,3.2
SITE011,2,28.5,11.8,20.1,34.0,100.0,16.8,41.0,8.3,3.2
SITE011,3,31.5,15.9,23.7,44.8,146.0,15.7,44.0,8.1,3.2
SITE011,4,36.8,20.4,28.6,37.1,193.0,16.4,42.0,8.3,3.2
SITE011,5,42.7,24.2,33.4,17.0,256.0,18.4,36.0,8.7,3.2
SITE011,6,46.9,27.1,37.0,3.1,284.0,19.8,33.0,8.9,3.2
SITE011,7,48.3,28.3,38.3,0.8,297.0,20.0,32.0,9.0,3.2
SITE011,8,47.0,27.0,37.0,0.8,270.0,20.0,32.0,9.0,3.2
SITE011,9,43.4,23.5,33.5,2.3,210.0,19.9,33.0,9.0,3.2
SITE011,10,38.1,19.0,28.6,10.8,156.0,19.1,35.0,8.8,3.2
SITE011,11,31.9,15.5,23.7,37.1,99.0,16.4,42.0,8.3,3.2
SITE011,12,27.6,12.7,20.1,52.6,78.0,14.9,46.0,8.0,3.2
SITE012,1,25.8,9.1,17.4,66.5,82.0,16.7,41.0,8.3,3.2
SITE012,2,27.2,10.3,18.8,63.6,96.0,16.9,41.0,8.3,3.2
SITE012,3,30.3,14.5,22.4,83.8,142.0,15.8,44.0,8.1,3.2
SITE012,4,35.6,19.0,27.3,69.4,188.0,16.6,42.0,8.3,3.2
SITE012,5,41.5,22.9,32.2,31.8,251.0,18.6,36.0,8.7,3.2
SITE012,6,45.8,25.9,35.9,5.8,280.0,20.0,33.0,8.9,3.2
SITE012,7,47.2,27.2,37.2,1.4,291.0,20.0,32.0,9.0,3.2
SITE012,8,45.9,25.9,35.9,1.4,264.0,20.0,32.0,9.0,3.2
SITE012,9,42.2,22.2,32.2,4.3,205.0,20.0,33.0,9.0,3.2
SITE012,10,36.9,17.7,27.3,20.2,151.0,19.2,35.0,8.8,3.2
SITE012,11,30.7,14.1,22.4,69.4,96.0,16.6,42.0,8.3,3.2
SITE012,12,26.3,11.3,18.8,98.3,75.0,15.0,46.0,8.0,3.2
SITE013,1,29.0,13.0,21.0,28.2,91.0,15.9,41.0,8.3,3.2
SITE013,2,30.3,14.2,22.3,27.0,105.0,16.1,41.0,8.3,3.2
SITE013,3,33.2,18.1,25.6,35.6,151.0,15.1,44.0,8.1,3.2
SITE013,4,38.1,22.3,30.2,29.4,197.0,15.8,42.0,8.3,3.2
SITE013,5,43.7,26.0,34.9,13.5,258.0,17.7,36.0,8.7,3.2
SITE013,6,47.8,28.7,38.2,2.5,284.0,19.0,33.0,8.9,3.2
SITE013,7,49.1,29.8,39.5,0.6,297.0,19.3,32.0,9.0,3.2
SITE013,8,47.9,28.6,38.2,0.6,271.0,19.3,32.0,9.0,3.2
SITE013,9,44.4,25.3,34.9,1.8,213.0,19.1,33.0,9.0,3.2
SITE013,10,39.4,21.1,30.2,8.6,160.0,18.3,35.0,8.8,3.2
SITE013,11,33.5,17.7,25.6,29.4,104.0,15.8,42.0,8.3,3.2
SITE013,12,29.4,15.1,22.3,41.7,83.0,14.3,46.0,8.0,3.2
SITE014,1,28.5,11.9,20.2,22.5,92.0,16.6,41.0,8.3,3.2
SITE014,2,29.9,13.2,21.5,21.6,106.0,16.7,41.0,8.3,3.2
SITE014,3,32.9,17.3,25.1,28.4,153.0,15.6,44.0,8.1,3.2
SITE014,4,38.1,21.7,29.9,23.5,199.0,16.4,42.0,8.3,3.2
SITE014,5,44.0,25.6,34.8,10.8,263.0,18.4,36.0,8.7,3.2
SITE014,6,48.2,28.5,38.3,2.0,290.0,19.8,33.0,8.9,3.2
SITE014,7,49.6,29.6,39.6,0.5,303.0,20.0,32.0,9.0,3.2
SITE014,8,48.3,28.3,38.3,0.5,277.0,20.0,32.0,9.0,3.2
SITE014,9,44.7,24.9,34.8,1.5,218.0,19.8,33.0,9.0,3.2
SITE014,10,39.4,20.4,29.9,6.9,163.0,19.0,35.0,8.8,3.2
SITE014,11,33.3,16.9,25.1,23.5,105.0,16.4,42.0,8.3,3.2
SITE014,12,29.0,14.1,21.5,33.3,84.0,14.9,46.0,8.0,3.2
SITE015,1,26.9,10.2,18.5,36.9,88.0,16.7,41.0,8.3,3.2
SITE015,2,28.3,11.4,19.9,35.2,102.0,16.9,41.0,8.3,3.2
SITE015,3,31.4,15.6,23.5,46.5,148.0,15.8,44.0,8.1,3.2
SITE015,4,36.7,20.1,28.4,38.5,194.0,16.6,42.0,8.3,3.2
SITE015,5,42.6,24.0,33.3,17.6,257.0,18.6,36.0,8.7,3.2
SITE015,6,46.9,27.0,37.0,3.2,284.0,20.0,33.0,8.9,3.2
SITE015,7,48.3,28.3,38.3,0.8,296.0,20.0,32.0,9.0,3.2
SITE015,8,47.0,27.0,37.0,0.8,270.0,20.0,32.0,9.0,3.2
SITE015,9,43.3,23.3,33.3,2.4,212.0,20.0,33.0,9.0,3.2
SITE015,10,38.0,18.8,28.4,11.2,159.0,19.2,35.0,8.8,3.2
SITE015,11,31.8,15.2,23.5,38.5,102.0,16.6,42.0,8.3,3.2
SITE015,12,27.4,12.4,19.9,54.5,81.0,15.0,46.0,8.0,3.2
SITE016,1,9.0,-8.8,0.1,37.1,36.0,17.8,41.0,8.3,3.2
SITE016,2,10.6,-7.4,1.6,35.5,46.0,18.0,41.0,8.3,3.2
SITE016,3,14.2,-2.6,5.8,46.8,79.0,16.8,44.0,8.1,3.2
SITE016,4,20.4,2.7,11.5,38.7,122.0,17.6,42.0,8.3,3.2
SITE016,5,27.2,7.4,17.3,17.7,181.0,19.8,36.0,8.7,3.2
SITE016,6,31.5,11.5,21.5,3.2,207.0,20.0,33.0,8.9,3.2
SITE016,7,33.0,13.0,23.0,0.8,217.0,20.0,32.0,9.0,3.2
SITE016,8,31.5,11.5,21.5,0.8,189.0,20.0,32.0,9.0,3.2
SITE016,9,27.3,7.3,17.3,2.4,135.0,20.0,33.0,9.0,3.2
SITE016,10,21.5,1.5,11.5,11.3,90.0,20.0,35.0,8.8,3.2
SITE016,11,14.6,-3.0,5.8,38.7,49.0,17.6,42.0,8.3,3.2
SITE016,12,9.6,-6.4,1.6,54.9,33.0,16.0,46.0,8.0,3.2
SITE017,1,8.2,-9.6,-0.7,27.4,34.0,17.8,41.0,8.3,3.2
SITE017,2,9.9,-8.1,0.9,26.3,44.0,18.0,41.0,8.3,3.2
SITE017,3,13.7,-3.1,5.3,34.6,78.0,16.8,44.0,8.1,3.2
SITE017,4,20.1,2.5,11.3,28.6,121.0,17.6,42.0,8.3,3.2
SITE017,5,27.2,7.4,17.3,13.1,181.0,19.8,36.0,8.7,3.2
SITE017,6,31.7,11.7,21.7,2.4,208.0,20.0,33.0,8.9,3.2
SITE017,7,33.3,13.3,23.3,0.6,218.0,20.0,32.0,9.0,3.2
SITE017,8,31.7,11.7,21.7,0.6,190.0,20.0,32.0,9.0,3.2
SITE017,9,27.3,7.3,17.3,1.8,136.0,20.0,33.0,9.0,3.2
SITE017,10,21.3,1.3,11.3,8.4,89.0,20.0,35.0,8.8,3.2
SITE017,11,14.1,-3.5,5.3,28.6,48.0,17.6,42.0,8.3,3.2
SITE017,12,8.9,-7.1,0.9,40.6,32.0,16.0,46.0,8.0,3.2
SITE018,1,7.6,-10.2,-1.3,51.2,33.0,17.8,41.0,8.3,3.2
SITE018,2,9.3,-8.7,0.3,48.9,43.0,18.0,41.0,8.3,3.2
SITE018,3,13.1,-3.7,4.7,64.5,76.0,16.8,44.0,8.1,3.2
SITE018,4,19.5,1.9,10.7,53.4,119.0,17.6,42.0,8.3,3.2
SITE018,5,26.6,6.8,16.7,24.5,178.0,19.8,36.0,8.7,3.2
SITE018,6,31.1,11.1,21.1,4.4,205.0,20.0,33.0,8.9,3.2
SITE018,7,32.8,12.8,22.8,1.1,215.0,20.0,32.0,9.0,3.2
SITE018,8,31.1,11.1,21.1,1.1,188.0,20.0,32.0,9.0,3.2
SITE018,9,26.7,6.7,16.7,3.3,133.0,20.0,33.0,9.0,3.2
SITE018,10,20.7,0.7,10.7,15.6,87.0,20.0,35.0,8.8,3.2
SITE018,11,13.5,-4.1,4.7,53.4,47.0,17.6,42.0,8.3,3.2
SITE018,12,8.3,-7.7,0.3,75.6,31.0,16.0,46.0,8.0,3.2
SITE019,1,9.9,-7.9,1.0,43.4,38.0,17.8,41.0,8.3,3.2
SITE019,2,11.4,-6.5,2.5,41.5,48.0,18.0,41.0,8.3,3.2
SITE019,3,14.8,-2.0,6.4,54.8,82.0,16.8,44.0,8.1,3.2
SITE019,4,20.6,2.9,11.7,45.3,123.0,17.6,42.0,8.3,3.2
SITE019,5,27.0,7.2,17.1,20.8,180.0,19.8,36.0,8.7,3.2
SITE019,6,31.0,11.0,21.0,3.8,204.0,20.0,33.0,8.9,3.2
SITE019,7,32.5,12.5,22.5,0.9,214.0,20.0,32.0,9.0,3.2
SITE019,8,31.0,11.0,21.0,0.9,187.0,20.0,32.0,9.0,3.2
SITE019,9,27.1,7.1,17.1,2.8,135.0,20.0,33.0,9.0,3.2
SITE019,10,21.7,1.7,11.7,13.2,91.0,20.0,35.0,8.8,3.2
SITE019,11,15.2,-2.4,6.4,45.3,50.0,17.6,42.0,8.3,3.2
SITE019,12,10.5,-5.5,2.5,64.2,35.0,16.0,46.0,8.0,3.2
SITE020,1,7.7,-10.2,-1.3,29.1,34.0,17.8,41.0,8.3,3.2
SITE020,2,9.3,-8.7,0.3,27.9,43.0,18.0,41.0,8.3,3.2
SITE020,3,12.8,-4.0,4.4,36.7,75.0,16.8,44.0,8.1,3.2
SITE020,4,18.9,1.3,10.1,30.4,116.0,17.6,42.0,8.3,3.2
SITE020,5,25.7,5.9,15.8,13.9,173.0,19.8,36.0,8.7,3.2
SITE020,6,30.0,10.0,20.0,2.5,198.0,20.0,33.0,8.9,3.2
SITE020,7,31.5,11.5,21.5,0.6,209.0,20.0,32.0,9.0,3.2
SITE020,8,30.0,10.0,20.0,0.6,182.0,20.0,32.0,9.0,3.2
SITE020,9,25.8,5.8,15.8,1.9,130.0,20.0,33.0,9.0,3.2
SITE020,10,20.1,0.1,10.1,8.9,86.0,20.0,35.0,8.8,3.2
SITE020,11,13.3,-4.4,4.4,30.4,47.0,17.6,42.0,8.3,3.2
SITE020,12,8.3,-7.7,0.3,43.0,32.0,16.0,46.0,8.0,3.2
SITE021,1,7.7,-10.2,-1.3,55.9,34.0,17.8,41.0,8.3,3.2
SITE021,2,9.3,-8.7,0.3,53.5,44.0,18.0,41.0,8.3,3.2
SITE021,3,12.8,-4.0,4.4,70.5,75.0,16.8,44.0,8.1,3.2
SITE021,4,18.9,1.3,10.1,58.4,117.0,17.6,42.0,8.3,3.2
SITE021,5,25.7,5.9,15.8,26.7,173.0,19.8,36.0,8.7,3.2
SITE021,6,30.0,10.0,20.0,4.9,198.0,20.0,33.0,8.9,3.2
SITE021,7,31.5,11.5,21.5,1.2,209.0,20.0,32.0,9.0,3.2
SITE021,8,30.0,10.0,20.0,1.2,182.0,20.0,32.0,9.0,3.2
SITE021,9,25.8,5.8,15.8,3.6,131.0,20.0,33.0,9.0,3.2
SITE021,10,20.1,0.1,10.1,17.0,87.0,20.0,35.0,8.8,3.2
SITE021,11,13.3,-4.4,4.4,58.4,47.0,17.6,42.0,8.3,3.2
SITE021,12,8.3,-7.7,0.3,82.7,32.0,16.0,46.0,8.0,3.2
SITE022,1,6.1,-13.2,-3.6,18.2,28.0,19.3,56.0,6.0,2.7
SITE022,2,7.8,-11.7,-2.0,16.5,37.0,19.5,56.0,6.0,2.7
SITE022,3,11.9,-7.2,2.4,19.8,70.0,19.1,56.0,6.0,2.7
SITE022,4,17.4,-0.8,8.3,26.5,109.0,18.3,58.0,5.9,2.7
SITE022,5,22.9,5.5,14.2,33.1,155.0,17.5,59.0,5.8,2.7
SITE022,6,26.8,10.3,18.6,41.3,173.0,16.4,61.0,5.6,2.7
SITE022,7,28.1,12.1,20.1,44.6,180.0,16.0,61.0,5.6,2.7
SITE022,8,26.9,10.2,18.6,39.7,158.0,16.6,60.0,5.7,2.7
SITE022,9,22.9,5.5,14.2,33.1,113.0,17.5,59.0,5.8,2.7
SITE022,10,17.4,-0.8,8.3,26.5,74.0,18.3,58.0,5.9,2.7
SITE022,11,11.8,-7.1,2.4,21.5,41.0,18.9,57.0,6.0,2.7
SITE022,12,7.7,-11.6,-2.0,18.2,28.0,19.3,56.0,6.0,2.7
SITE023,1,3.7,-15.6,-5.9,13.8,24.0,19.3,56.0,6.0,2.7
SITE023,2,5.5,-14.0,-4.3,12.6,32.0,19.5,56.0,6.0,2.7
SITE023,3,9.9,-9.2,0.3,15.1,64.0,19.1,56.0,6.0,2.7
SITE023,4,15.7,-2.6,6.6,20.1,102.0,18.3,58.0,5.9,2.7
SITE023,5,21.5,4.1,12.8,25.2,148.0,17.5,59.0,5.8,2.7
SITE023,6,25.6,9.2,17.4,31.5,168.0,16.4,61.0,5.6,2.7
SITE023,7,27.0,11.0,19.0,34.0,175.0,16.0,61.0,5.6,2.7
SITE023,8,25.7,9.1,17.4,30.2,153.0,16.6,60.0,5.7,2.7
SITE023,9,21.5,4.1,12.8,25.2,109.0,17.5,59.0,5.8,2.7
SITE023,10,15.7,-2.6,6.6,20.1,69.0,18.3,58.0,5.9,2.7
SITE023,11,9.8,-9.1,0.3,16.4,37.0,18.9,57.0,6.0,2.7
SITE023,12,5.4,-13.9,-4.3,13.8,24.0,19.3,56.0,6.0,2.7
SITE024,1,5.1,-14.2,-4.6,24.1,26.0,19.3,56.0,6.0,2.7
SITE024,2,6.9,-12.7,-2.9,21.9,35.0,19.5,56.0,6.0,2.7
SITE024,3,11.2,-7.9,1.6,26.3,68.0,19.1,56.0,6.0,2.7
SITE024,4,17.0,-1.3,7.8,35.0,107.0,18.3,58.0,5.9,2.7
SITE024,5,22.7,5.3,14.0,43.8,154.0,17.5,59.0,5.8,2.7
SITE024,6,26.7,10.3,18.5,54.8,173.0,16.4,61.0,5.6,2.7
SITE024,7,28.2,12.2,20.2,59.1,180.0,16.0,61.0,5.6,2.7
SITE024,8,26.9,10.2,18.5,52.6,158.0,16.6,60.0,5.7,2.7
SITE024,9,22.7,5.3,14.0,43.8,112.0,17.5,59.0,5.8,2.7
SITE024,10,17.0,-1.3,7.8,35.0,72.0,18.3,58.0,5.9,2.7
SITE024,11,11.1,-7.8,1.6,28.5,39.0,18.9,57.0,6.0,2.7
SITE024,12,6.8,-12.6,-2.9,24.1,26.0,19.3,56.0,6.0,2.7
SITE025,1,20.5,8.3,14.4,84.7,55.0,12.2,60.0,6.5,2.5
SITE025,2,21.4,9.0,15.2,79.4,66.0,12.3,60.0,6.5,2.5
SITE025,3,23.3,11.4,17.3,100.5,100.0,11.8,61.0,6.4,2.5
SITE025,4,26.0,14.5,20.2,116.4,128.0,11.5,62.0,6.3,2.5
SITE025,5,28.7,17.6,23.2,132.3,158.0,11.1,63.0,6.3,2.5
SITE025,6,30.7,19.9,25.3,148.2,166.0,10.7,64.0,6.2,2.5
SITE025,7,31.3,20.8,26.1,158.8,169.0,10.5,64.0,6.2,2.5
SITE025,8,30.7,19.9,25.3,142.9,153.0,10.9,64.0,6.2,2.5
SITE025,9,28.8,17.5,23.2,121.7,120.0,11.4,62.0,6.3,2.5
SITE025,10,26.2,14.3,20.2,100.5,91.0,11.8,61.0,6.4,2.5
SITE025,11,23.4,11.3,17.3,90.0,62.0,12.1,61.0,6.4,2.5
SITE025,12,21.3,9.1,15.2,84.7,52.0,12.2,60.0,6.5,2.5
SITE026,1,19.0,6.0,12.5,58.5,52.0,13.0,60.0,6.5,2.5
SITE026,2,19.9,6.8,13.3,54.8,64.0,13.1,60.0,6.5,2.5
SITE026,3,22.0,9.4,15.7,69.4,98.0,12.6,61.0,6.4,2.5
SITE026,4,25.0,12.8,18.9,80.4,127.0,12.2,62.0,6.3,2.5
SITE026,5,28.0,16.2,22.1,91.3,159.0,11.8,63.0,6.3,2.5
SITE026,6,30.1,18.7,24.4,102.3,168.0,11.4,64.0,6.2,2.5
SITE026,7,30.9,19.7,25.3,109.6,171.0,11.2,64.0,6.2,2.5
SITE026,8,30.2,18.6,24.4,98.6,155.0,11.6,64.0,6.2,2.5
SITE026,9,28.1,16.0,22.1,84.0,120.0,12.1,62.0,6.3,2.5
SITE026,10,25.2,12.6,18.9,69.4,90.0,12.6,61.0,6.4,2.5
SITE026,11,22.1,9.2,15.7,62.1,60.0,12.9,61.0,6.4,2.5
SITE026,12,19.8,6.8,13.3,58.5,49.0,13.0,60.0,6.5,2.5
SITE027,1,20.1,7.2,13.6,109.7,55.0,12.9,60.0,6.5,2.5
SITE027,2,21.0,8.0,14.5,102.8,66.0,13.0,60.0,6.5,2.5
SITE027,3,23.1,10.6,16.8,130.3,101.0,12.5,61.0,6.4,2.5
SITE027,4,26.0,13.9,20.0,150.8,131.0,12.1,62.0,6.3,2.5
SITE027,5,29.0,17.3,23.1,171.4,163.0,11.7,63.0,6.3,2.5
SITE027,6,31.1,19.8,25.5,192.0,171.0,11.3,64.0,6.2,2.5
SITE027,7,31.9,20.8,26.3,205.7,174.0,11.1,64.0,6.2,2.5
SITE027,8,31.2,19.7,25.5,185.1,158.0,11.5,64.0,6.2,2.5
