site_id,year,tmax_avg_c,tmin_avg_c,tavg_c,precip_mm,et0_mm,gdd_base10,frost_days,heat_days_gt35,rh_mean_pct,wind_ms,sunshine_h_day,precip_anom_pct,temp_anom_c
SITE003,1998,24.7,6.0,15.0,259.4,1657.0,2432,90,26,38.0,3.3,8.6,-38,-0.23
SITE003,1999,24.6,6.0,14.9,296.3,1650.0,2426,90,26,38.0,2.9,8.9,-29,-0.28
SITE003,2000,24.7,6.1,15.0,202.5,1666.0,2437,89,26,37.0,3.1,9.0,-51,-0.18
SITE003,2001,24.8,6.1,15.1,331.5,1653.0,2443,89,27,38.0,3.1,8.5,-20,-0.14
SITE003,2002,24.8,6.1,15.1,435.9,1640.0,2444,89,27,39.0,2.9,8.5,5,-0.13
SITE003,2003,24.7,6.1,15.1,567.1,1624.0,2441,89,27,40.0,3.5,8.1,36,-0.15
SITE003,2004,24.9,6.2,15.2,403.8,1649.0,2457,88,27,38.0,2.7,8.6,-3,-0.03
SITE003,2005,24.8,6.2,15.1,836.6,1595.0,2448,89,27,41.0,3.2,7.8,101,-0.1
SITE003,2006,24.9,6.2,15.2,276.2,1664.0,2455,88,27,37.0,3.1,8.9,-34,-0.04
SITE003,2007,25.0,6.3,15.3,274.8,1669.0,2468,88,27,37.0,3.1,8.6,-34,0.06
SITE003,2008,24.8,6.2,15.1,384.0,1650.0,2452,89,27,38.0,2.9,8.6,-8,-0.07
SITE003,2009,24.8,6.2,15.1,459.1,1641.0,2452,89,27,39.0,3.5,8.4,10,-0.07
SITE003,2010,24.9,6.3,15.2,511.2,1639.0,2463,88,27,39.0,3.5,8.4,23,0.03
SITE003,2011,24.9,6.3,15.2,346.3,1658.0,2460,88,27,38.0,3.0,8.6,-17,-0.0
SITE003,2012,25.0,6.4,15.3,417.4,1656.0,2477,87,27,37.0,2.9,8.8,0,0.14
SITE003,2013,25.0,6.3,15.3,335.5,1663.0,2470,88,27,37.0,3.4,8.5,-19,0.08
SITE003,2014,24.9,6.3,15.3,345.4,1660.0,2466,88,27,37.0,3.3,8.9,-17,0.05
SITE003,2015,25.0,6.4,15.3,442.2,1652.0,2474,87,27,38.0,3.1,8.4,6,0.11
SITE003,2016,25.1,6.4,15.4,498.3,1647.0,2479,87,27,38.0,2.8,8.4,20,0.16
SITE003,2017,25.2,6.5,15.5,369.8,1669.0,2494,86,28,37.0,3.1,8.9,-11,0.28
SITE003,2018,25.2,6.6,15.5,210.7,1689.0,2498,86,28,35.0,2.7,8.7,-49,0.3
SITE003,2019,25.4,6.7,15.7,525.9,1660.0,2520,85,28,37.0,2.8,8.2,26,0.49
SITE003,2020,25.5,6.9,15.8,686.1,1649.0,2539,84,29,37.0,3.4,8.1,65,0.64
SITE003,2021,25.6,7.0,15.9,359.9,1692.0,2548,83,29,35.0,3.0,8.6,-13,0.72
SITE003,2022,25.6,7.0,15.9,448.0,1681.0,2547,83,29,35.0,3.8,8.2,8,0.71
SITE003,2023,25.5,6.9,15.8,264.3,1700.0,2539,84,29,34.0,3.9,8.8,-36,0.64
SITE003,2024,25.5,6.9,15.8,245.6,1701.0,2536,84,29,34.0,3.0,8.8,-41,0.62
SITE004,1991,25.4,7.5,16.1,589.5,1621.0,2633,38,28,67.0,2.6,6.1,69,-0.67
SITE004,1992,25.3,7.4,16.0,366.9,1648.0,2619,38,27,65.0,2.5,6.4,5,-0.77
SITE004,1993,25.3,7.4,16.0,610.1,1614.0,2620,38,27,67.0,2.4,6.1,75,-0.77
SITE004,1994,25.3,7.4,16.0,152.1,1681.0,2626,38,27,63.0,2.4,6.7,-56,-0.72
SITE004,1995,25.4,7.5,16.1,316.5,1660.0,2632,38,27,64.0,2.5,6.4,-9,-0.68
SITE004,1996,25.4,7.5,16.1,392.9,1650.0,2635,38,28,65.0,2.5,6.4,13,-0.65
SITE004,1997,25.5,7.6,16.2,439.9,1649.0,2651,38,28,65.0,2.5,6.3,26,-0.54
SITE004,1998,25.5,7.6,16.2,506.6,1640.0,2653,37,28,65.0,2.5,6.4,46,-0.52
SITE004,1999,25.4,7.5,16.0,160.4,1681.0,2630,38,27,63.0,2.4,6.6,-54,-0.69
SITE004,2000,25.4,7.5,16.1,232.7,1675.0,2641,38,28,63.0,2.2,6.6,-33,-0.61
SITE004,2001,25.4,7.5,16.1,162.3,1684.0,2637,38,28,63.0,3.1,6.5,-53,-0.64
SITE004,2002,25.4,7.5,16.1,301.1,1664.0,2637,38,28,64.0,2.4,6.4,-13,-0.64
SITE004,2003,25.5,7.6,16.2,493.9,1643.0,2655,37,28,65.0,2.8,5.9,42,-0.51
SITE004,2004,25.7,7.8,16.4,516.9,1646.0,2673,37,28,65.0,2.4,5.8,49,-0.38
SITE004,2005,25.7,7.8,16.4,379.8,1667.0,2676,37,28,64.0,2.3,6.3,9,-0.35
SITE004,2006,25.8,7.9,16.5,282.1,1686.0,2690,37,29,62.0,2.4,6.4,-19,-0.25
SITE004,2007,25.8,7.9,16.5,264.8,1690.0,2696,37,29,62.0,3.0,6.4,-24,-0.2
SITE004,2008,26.0,8.1,16.6,346.3,1684.0,2712,36,29,62.0,2.3,6.5,0,-0.09
SITE004,2009,25.9,8.0,16.6,336.9,1685.0,2710,36,29,62.0,2.5,6.2,-3,-0.11
SITE004,2010,26.0,8.1,16.7,393.5,1678.0,2713,36,29,63.0,2.5,6.4,13,-0.08
SITE004,2011,26.0,8.1,16.7,353.0,1687.0,2723,36,29,62.0,2.7,6.2,1,-0.01
SITE004,2012,26.1,8.2,16.8,405.4,1684.0,2736,36,30,62.0,2.5,6.0,16,0.08
SITE004,2013,26.3,8.4,17.0,403.6,1694.0,2762,35,30,61.0,2.6,6.4,16,0.27
SITE004,2014,26.4,8.5,17.1,384.1,1701.0,2773,35,31,61.0,2.2,6.4,10,0.36
SITE004,2015,26.6,8.7,17.3,345.8,1714.0,2796,34,31,60.0,2.2,6.4,-1,0.52
SITE004,2016,26.7,8.8,17.4,473.7,1702.0,2814,34,31,60.0,2.3,6.1,36,0.66
SITE004,2017,26.8,8.9,17.5,188.3,1751.0,2832,34,32,57.0,2.4,6.8,-46,0.79
SITE004,2018,26.9,9.0,17.6,175.5,1757.0,2843,33,32,57.0,2.1,6.7,-50,0.87
SITE004,2019,26.9,9.0,17.6,447.8,1714.0,2836,34,32,60.0,2.2,6.1,29,0.82
SITE004,2020,27.0,9.2,17.7,393.0,1731.0,2861,33,32,58.0,2.4,6.5,13,1.0
SITE004,2021,27.2,9.3,17.9,222.0,1763.0,2880,33,33,56.0,2.6,6.6,-36,1.14
SITE004,2022,27.2,9.3,17.8,286.7,1752.0,2875,33,33,57.0,2.1,6.6,-18,1.11
SITE004,2023,27.2,9.3,17.9,273.1,1755.0,2877,33,33,57.0,2.5,6.3,-22,1.12
SITE004,2024,27.2,9.3,17.9,273.8,1755.0,2878,33,33,57.0,2.5,6.4,-21,1.13
SITE005,1991,24.4,6.2,15.0,151.7,1634.0,2406,64,23,64.0,2.4,6.6,-33,-0.79
SITE005,1992,24.5,6.3,15.0,421.0,1580.0,2416,63,24,67.0,2.8,5.8,85,-0.71
SITE005,1993,24.6,6.4,15.1,184.2,1635.0,2427,63,24,64.0,2.5,6.4,-19,-0.63
SITE005,1994,24.7,6.5,15.2,174.9,1641.0,2438,63,24,63.0,2.6,6.8,-23,-0.54
SITE005,1995,24.7,6.5,15.2,129.7,1650.0,2434,63,24,63.0,2.3,6.8,-43,-0.57
SITE005,1996,24.8,6.6,15.3,288.2,1621.0,2448,62,24,65.0,2.4,6.0,27,-0.45
SITE005,1997,24.8,6.6,15.3,283.1,1624.0,2453,62,24,64.0,2.4,6.1,25,-0.41
SITE005,1998,24.8,6.5,15.3,134.1,1653.0,2446,62,24,63.0,2.9,6.5,-41,-0.47
SITE005,1999,24.8,6.6,15.3,161.4,1648.0,2446,62,24,63.0,2.3,6.3,-29,-0.47
SITE005,2000,24.7,6.5,15.3,118.6,1656.0,2443,62,24,63.0,2.6,6.4,-48,-0.5
SITE005,2001,24.8,6.6,15.3,160.9,1649.0,2449,62,24,63.0,2.6,6.6,-29,-0.45
SITE005,2002,25.0,6.8,15.5,277.9,1633.0,2472,61,25,64.0,2.6,6.0,22,-0.27
SITE005,2003,24.9,6.7,15.4,224.4,1641.0,2464,62,25,63.0,2.5,6.4,-1,-0.32
SITE005,2004,25.0,6.8,15.5,270.9,1636.0,2477,61,25,63.0,2.7,6.3,19,-0.22
SITE005,2005,24.9,6.7,15.4,181.0,1651.0,2466,62,25,63.0,2.6,6.6,-20,-0.31
SITE005,2006,24.9,6.7,15.4,289.8,1627.0,2463,62,25,64.0,2.2,6.0,28,-0.33
SITE005,2007,25.0,6.7,15.5,164.9,1657.0,2471,61,25,62.0,2.9,6.6,-27,-0.28
SITE005,2008,24.9,6.7,15.5,184.7,1651.0,2467,61,25,63.0,2.4,6.4,-19,-0.3
SITE005,2009,25.1,6.8,15.6,124.2,1671.0,2483,61,25,61.0,2.3,6.6,-45,-0.17
SITE005,2010,25.2,7.0,15.7,219.3,1656.0,2500,60,25,62.0,2.9,6.4,-3,-0.04
SITE005,2011,25.3,7.1,15.8,179.1,1670.0,2511,60,26,61.0,2.6,6.6,-21,0.05
SITE005,2012,25.3,7.1,15.9,213.6,1665.0,2518,60,26,61.0,2.5,6.4,-6,0.1
SITE005,2013,25.5,7.3,16.1,116.3,1696.0,2542,59,26,59.0,2.5,6.6,-49,0.3
SITE005,2014,25.6,7.4,16.1,203.1,1679.0,2548,58,26,60.0,2.4,6.4,-11,0.34
SITE005,2015,25.7,7.5,16.2,198.5,1687.0,2565,58,27,60.0,3.0,6.8,-13,0.48
SITE005,2016,25.7,7.5,16.3,262.7,1674.0,2569,58,27,60.0,3.2,6.0,16,0.51
SITE005,2017,25.7,7.5,16.3,219.6,1684.0,2570,58,27,60.0,2.5,6.2,-3,0.52
SITE005,2018,25.8,7.6,16.3,179.3,1694.0,2573,57,27,59.0,2.6,6.6,-21,0.54
SITE005,2019,25.8,7.6,16.4,374.2,1654.0,2580,57,27,62.0,2.6,6.1,65,0.6
SITE005,2020,26.0,7.8,16.5,290.6,1680.0,2601,56,27,60.0,2.8,6.2,28,0.76
SITE005,2021,26.1,7.9,16.7,114.6,1727.0,2619,56,28,57.0,2.6,6.8,-50,0.91
SITE005,2022,26.2,8.0,16.7,198.1,1712.0,2629,55,28,58.0,2.3,6.6,-13,0.99
SITE005,2023,26.2,8.0,16.8,257.7,1699.0,2631,55,28,58.0,2.1,6.3,14,1.0
SITE005,2024,26.4,8.2,16.9,174.0,1726.0,2650,54,28,57.0,2.0,6.3,-23,1.15
SITE006,1991,25.1,6.9,15.6,630.1,1632.0,2532,56,27,65.0,2.9,5.9,39,-0.52
SITE006,1992,25.0,6.7,15.5,689.3,1620.0,2518,57,27,66.0,2.2,5.9,52,-0.63
SITE006,1993,25.1,6.9,15.6,567.7,1640.0,2536,56,27,65.0,2.2,6.3,25,-0.49
SITE006,1994,25.1,6.9,15.6,448.6,1654.0,2538,56,27,64.0,2.6,6.4,-1,-0.47
SITE006,1995,25.2,7.0,15.7,305.9,1673.0,2547,56,27,63.0,2.7,6.6,-33,-0.41
SITE006,1996,25.2,7.0,15.7,830.0,1617.0,2550,56,27,66.0,2.3,5.8,83,-0.38
SITE006,1997,25.1,6.9,15.6,450.0,1653.0,2535,56,27,64.0,2.6,6.3,-1,-0.49
SITE006,1998,25.1,6.9,15.7,305.9,1671.0,2543,56,27,63.0,2.5,6.4,-33,-0.43
SITE006,1999,25.1,6.9,15.6,367.4,1662.0,2538,56,27,63.0,2.7,6.5,-19,-0.48
SITE006,2000,25.1,6.9,15.7,360.8,1665.0,2543,56,27,63.0,2.6,6.6,-21,-0.44
SITE006,2001,25.4,7.2,15.9,537.2,1657.0,2574,55,28,63.0,2.6,5.9,18,-0.2
SITE006,2002,25.5,7.3,16.0,329.7,1685.0,2586,54,28,62.0,2.6,6.3,-27,-0.11
SITE006,2003,25.5,7.3,16.1,871.9,1627.0,2591,54,28,65.0,2.2,5.9,92,-0.06
SITE006,2004,25.6,7.4,16.1,693.5,1650.0,2600,54,28,64.0,2.5,6.1,53,0.0
SITE006,2005,25.6,7.4,16.2,481.8,1677.0,2608,54,29,62.0,2.4,6.6,6,0.07
SITE006,2006,25.6,7.4,16.2,177.4,1710.0,2608,54,29,60.0,2.7,7.0,-61,0.06
SITE006,2007,25.6,7.4,16.1,352.2,1689.0,2603,54,29,61.0,2.4,6.4,-22,0.02
SITE006,2008,25.6,7.4,16.2,459.2,1679.0,2608,54,29,62.0,2.6,6.2,1,0.06
SITE006,2009,25.7,7.5,16.2,492.3,1676.0,2611,54,29,62.0,2.3,6.2,8,0.09
SITE006,2010,25.6,7.4,16.2,554.8,1667.0,2605,54,29,63.0,2.8,5.9,22,0.04
SITE006,2011,25.7,7.5,16.2,444.6,1681.0,2610,54,29,62.0,2.6,6.5,-2,0.08
SITE006,2012,25.6,7.4,16.2,541.3,1669.0,2605,54,29,62.0,2.8,6.2,19,0.04
SITE006,2013,25.7,7.5,16.2,581.5,1668.0,2614,53,29,62.0,3.0,6.2,28,0.11
SITE006,2014,25.7,7.5,16.2,557.3,1670.0,2613,53,29,62.0,2.6,6.1,23,0.1
SITE006,2015,25.8,7.6,16.3,423.1,1689.0,2625,53,29,61.0,2.8,6.6,-7,0.19
SITE006,2016,25.8,7.6,16.4,467.5,1688.0,2634,53,29,61.0,2.3,6.3,3,0.27
SITE006,2017,26.0,7.7,16.5,248.5,1718.0,2648,52,30,59.0,2.4,6.6,-45,0.37
SITE006,2018,26.0,7.8,16.5,516.8,1690.0,2653,52,30,61.0,2.3,6.1,14,0.41
SITE006,2019,25.9,7.7,16.4,669.9,1667.0,2639,53,29,62.0,2.4,6.1,48,0.3
SITE006,2020,25.9,7.7,16.5,320.9,1709.0,2645,52,29,60.0,2.5,6.6,-29,0.35
SITE006,2021,26.1,7.9,16.6,187.9,1731.0,2664,52,30,58.0,2.6,6.7,-59,0.5
SITE006,2022,26.1,7.9,16.7,345.6,1717.0,2673,51,30,59.0,2.6,6.5,-24,0.57
SITE006,2023,26.3,8.1,16.8,365.3,1722.0,2692,51,30,59.0,2.6,6.5,-20,0.71
SITE006,2024,26.3,8.1,16.9,208.4,1741.0,2697,51,31,57.0,2.6,6.7,-54,0.75
SITE007,1991,23.9,5.3,14.2,344.8,1508.0,2243,96,17,40.0,2.8,8.2,29,-0.37
SITE007,1992,23.9,5.3,14.2,262.4,1520.0,2240,96,17,40.0,3.2,8.6,-2,-0.4
SITE007,1993,23.9,5.3,14.2,268.6,1521.0,2243,96,17,40.0,3.6,8.7,1,-0.37
SITE007,1994,23.9,5.2,14.2,201.9,1529.0,2235,96,17,39.0,3.6,8.5,-24,-0.44
SITE007,1995,23.8,5.2,14.1,216.8,1523.0,2227,97,17,39.0,3.1,8.8,-19,-0.51
SITE007,1996,23.8,5.1,14.1,352.1,1498.0,2224,97,17,41.0,3.1,8.3,32,-0.54
SITE007,1997,23.7,5.1,14.0,240.1,1516.0,2221,97,17,40.0,3.2,8.7,-10,-0.57
SITE007,1998,23.8,5.2,14.1,105.4,1543.0,2229,96,17,38.0,2.8,9.0,-61,-0.49
SITE007,1999,23.9,5.2,14.2,269.1,1517.0,2234,96,17,40.0,3.3,8.5,1,-0.45
SITE007,2000,24.0,5.3,14.3,191.1,1535.0,2246,95,17,39.0,3.2,8.8,-28,-0.35
SITE007,2001,24.0,5.3,14.3,300.0,1518.0,2250,95,17,40.0,3.5,8.4,12,-0.31
SITE007,2002,24.1,5.4,14.4,232.5,1533.0,2258,95,18,39.0,3.0,8.4,-13,-0.24
SITE007,2003,24.1,5.4,14.4,309.4,1520.0,2260,95,18,39.0,3.5,8.5,16,-0.23
SITE007,2004,24.1,5.4,14.4,246.4,1532.0,2261,94,18,39.0,3.4,8.5,-8,-0.22
SITE007,2005,24.1,5.4,14.4,276.3,1526.0,2259,95,18,39.0,2.9,8.3,3,-0.24
SITE007,2006,24.1,5.5,14.4,218.1,1537.0,2263,94,18,38.0,3.4,8.8,-18,-0.2
SITE007,2007,24.2,5.5,14.5,239.2,1538.0,2272,94,18,38.0,3.3,8.6,-10,-0.12
SITE007,2008,24.2,5.5,14.5,239.0,1537.0,2270,94,18,38.0,3.2,8.6,-10,-0.13
SITE007,2009,24.2,5.5,14.5,188.6,1546.0,2271,94,18,38.0,3.2,8.4,-29,-0.13
SITE007,2010,24.2,5.6,14.5,202.4,1545.0,2275,94,18,38.0,3.0,8.4,-24,-0.09
SITE007,2011,24.3,5.7,14.6,150.8,1559.0,2286,93,18,37.0,3.3,9.0,-44,0.01
SITE007,2012,24.4,5.8,14.7,282.5,1540.0,2297,92,18,38.0,3.1,8.5,6,0.1
SITE007,2013,24.5,5.8,14.8,195.7,1558.0,2304,92,18,37.0,3.4,8.8,-27,0.16
SITE007,2014,24.6,6.0,14.9,247.7,1558.0,2324,90,19,36.0,3.2,8.5,-7,0.34
SITE007,2015,24.7,6.0,15.0,271.8,1556.0,2329,90,19,37.0,3.2,8.5,2,0.38
SITE007,2016,24.6,6.0,15.0,375.6,1536.0,2325,90,19,38.0,3.0,8.4,41,0.34
SITE007,2017,24.7,6.1,15.0,240.0,1563.0,2333,90,19,36.0,3.3,8.8,-10,0.41
SITE007,2018,24.9,6.2,15.2,201.8,1578.0,2353,88,19,35.0,3.2,8.9,-24,0.59
SITE007,2019,24.9,6.2,15.2,356.4,1550.0,2352,89,19,37.0,3.4,8.4,33,0.58
SITE007,2020,24.9,6.2,15.2,387.6,1545.0,2352,89,19,37.0,2.7,8.3,45,0.58
SITE007,2021,25.0,6.3,15.3,143.4,1593.0,2364,88,19,34.0,2.9,8.8,-46,0.68
SITE007,2022,25.0,6.4,15.3,137.4,1594.0,2364,88,19,34.0,3.1,8.9,-49,0.69
SITE007,2023,25.0,6.4,15.3,166.8,1591.0,2370,87,19,34.0,3.0,8.6,-38,0.74
SITE007,2024,25.1,6.4,15.4,290.8,1571.0,2375,87,19,35.0,2.9,8.5,9,0.78
SITE008,1991,22.1,3.5,12.4,187.0,1444.0,1949,120,8,40.0,3.1,8.7,11,-0.52
SITE008,1992,22.2,3.5,12.5,196.3,1444.0,1955,119,8,40.0,3.1,8.6,16,-0.46
SITE008,1993,22.2,3.5,12.5,102.0,1469.0,1956,119,8,39.0,3.1,8.4,-40,-0.46
SITE008,1994,22.3,3.6,12.6,143.8,1463.0,1966,118,8,39.0,2.8,8.8,-15,-0.35
SITE008,1995,22.4,3.7,12.7,74.7,1486.0,1978,117,8,37.0,3.2,9.1,-56,-0.23
SITE008,1996,22.4,3.8,12.8,167.7,1466.0,1985,116,8,39.0,3.0,8.4,-1,-0.16
SITE008,1997,22.5,3.8,12.8,136.3,1475.0,1988,116,8,38.0,3.8,8.7,-19,-0.13
SITE008,1998,22.4,3.8,12.8,190.5,1460.0,1985,116,8,39.0,3.1,8.2,13,-0.17
SITE008,1999,22.4,3.8,12.7,108.5,1479.0,1980,117,8,38.0,3.2,8.7,-36,-0.21
SITE008,2000,22.5,3.9,12.8,129.3,1478.0,1989,116,8,38.0,3.4,8.8,-24,-0.12
SITE008,2001,22.4,3.8,12.7,122.3,1477.0,1983,117,8,38.0,3.1,8.8,-28,-0.18
SITE008,2002,22.6,4.0,12.9,178.6,1470.0,2000,115,8,38.0,2.9,8.6,6,-0.01
