region_fa,scenario,period,delta_t_deg_c,delta_precip_pct,delta_t_extreme_deg,source,confidence
آمریکای جنوبی,ssp126,2041-2060,1.9,-1.8,3.3,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp126,2081-2100,1.7,-1.6,2.9,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp245,2021-2040,2.0,-1.9,3.5,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp245,2041-2060,2.5,-2.4,4.3,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp245,2081-2100,3.2,-3.1,5.5,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp370,2021-2040,2.2,-2.0,3.7,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp370,2041-2060,2.9,-2.7,4.9,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp370,2081-2100,4.3,-4.1,7.3,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp585,2021-2040,2.4,-2.3,4.1,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp585,2041-2060,3.2,-3.1,5.5,CMIP6/IPCC AR6 median تقریبی,C
آمریکای جنوبی,ssp585,2081-2100,5.3,-5.0,9.0,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp126,2021-2040,2.0,-2.7,3.3,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp126,2041-2060,2.1,-2.9,3.5,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp126,2081-2100,1.8,-2.5,3.1,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp245,2021-2040,2.2,-3.1,3.8,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp245,2041-2060,2.7,-3.8,4.6,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp245,2081-2100,3.5,-4.9,6.0,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp370,2021-2040,2.3,-3.3,4.0,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp370,2041-2060,3.1,-4.4,5.3,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp370,2081-2100,4.7,-6.5,8.0,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp585,2021-2040,2.6,-3.6,4.4,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp585,2041-2060,3.5,-4.9,6.0,CMIP6/IPCC AR6 median تقریبی,C
آفریقا,ssp585,2081-2100,5.7,-8.0,9.7,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp126,2021-2040,1.8,-4.1,3.1,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp126,2041-2060,1.9,-4.4,3.3,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp126,2081-2100,1.7,-3.8,2.9,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp245,2021-2040,2.0,-4.6,3.5,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp245,2041-2060,2.5,-5.7,4.3,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp245,2081-2100,3.2,-7.4,5.5,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp370,2021-2040,2.2,-4.9,3.7,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp370,2041-2060,2.9,-6.5,4.9,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp370,2081-2100,4.3,-9.8,7.3,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp585,2021-2040,2.4,-5.5,4.1,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp585,2041-2060,3.2,-7.4,5.5,CMIP6/IPCC AR6 median تقریبی,C
استرالیا,ssp585,2081-2100,5.3,-12.0,9.0,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp126,2021-2040,1.5,0.7,2.5,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp126,2041-2060,1.6,0.7,2.7,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp126,2081-2100,1.4,0.6,2.4,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp245,2021-2040,1.7,0.8,2.9,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp245,2041-2060,2.1,1.0,3.6,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp245,2081-2100,2.7,1.2,4.6,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp370,2021-2040,1.8,0.8,3.1,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp370,2041-2060,2.4,1.1,4.1,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp370,2081-2100,3.6,1.6,6.1,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp585,2021-2040,2.0,0.9,3.4,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp585,2041-2060,2.7,1.2,4.6,CMIP6/IPCC AR6 median تقریبی,C
جهان,ssp585,2081-2100,4.4,2.0,7.5,CMIP6/IPCC AR6 median تقریبی,C
