calendar_id,province,climate_zone,crop_fa,sow_start_m-d,sow_end_m-d,harvest_start_m-d,harvest_end_m-d,cycle_days,note_fa,confidence
CCIR0027,قم,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0028,مرکزی,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0029,همدان,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0030,کردستان,سرد,گندم دیم,9-15,10-15,6-25,7-15,285,وابسته به بارش پاییزه,D
CCIR0031,آذربایجان شرقی,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0032,آذربایجان غربی,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0033,اردبیل,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0034,البرز,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0035,تهران,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0036,خراسان جنوبی,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0037,خراسان رضوی,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0038,خراسان شمالی,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0039,زنجان,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0040,سمنان,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0041,قزوین,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0042,قم,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0043,مرکزی,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0044,همدان,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0045,کردستان,سرد,جو,9-20,10-25,6-10,6-30,250,,D
CCIR0046,آذربایجان شرقی,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0047,آذربایجان غربی,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0048,اردبیل,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0049,البرز,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0050,تهران,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0051,خراسان جنوبی,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0052,خراسان رضوی,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0053,خراسان شمالی,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0054,زنجان,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0055,سمنان,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0056,قزوین,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0057,قم,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0058,مرکزی,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0059,همدان,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0060,کردستان,سرد,ذرت دانه,4-25,5-20,9-25,10-10,150,کاشت بهاره,D
CCIR0061,آذربایجان شرقی,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0062,آذربایجان غربی,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0063,اردبیل,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0064,البرز,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0065,تهران,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0066,خراسان جنوبی,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0067,خراسان رضوی,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0068,خراسان شمالی,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0069,زنجان,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0070,سمنان,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0071,قزوین,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0072,قم,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0073,مرکزی,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0074,همدان,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0075,کردستان,سرد,چغندرقند,4-5,4-25,10-20,11-15,195,,D
CCIR0076,آذربایجان شرقی,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0077,آذربایجان غربی,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0078,اردبیل,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0079,البرز,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0080,تهران,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0081,خراسان جنوبی,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0082,خراسان رضوی,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0083,خراسان شمالی,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0084,زنجان,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0085,سمنان,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0086,قزوین,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0087,قم,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0088,مرکزی,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0089,همدان,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0090,کردستان,سرد,سیب‌زمینی,4-20,5-15,9-15,10-5,145,,D
CCIR0091,آذربایجان شرقی,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0092,آذربایجان غربی,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0093,اردبیل,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0094,البرز,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0095,تهران,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0096,خراسان جنوبی,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0097,خراسان رضوی,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0098,خراسان شمالی,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0099,زنجان,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0100,سمنان,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0101,قزوین,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0102,قم,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0103,مرکزی,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0104,همدان,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0105,کردستان,سرد,گوجه‌فرنگی,5-25,6-15,8-20,9-30,105,نشاکاری,D
CCIR0106,آذربایجان شرقی,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0107,آذربایجان غربی,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0108,اردبیل,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0109,البرز,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0110,تهران,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0111,خراسان جنوبی,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0112,خراسان رضوی,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0113,خراسان شمالی,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0114,زنجان,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0115,سمنان,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0116,قزوین,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0117,قم,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0118,مرکزی,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0119,همدان,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0120,کردستان,سرد,یونجه,4-1,5-15,5-20,9-30,320,۳–۴ چین,D
CCIR0121,اصفهان,معتدل,گندم آبی,10-15,11-20,6-1,6-25,230,,D
CCIR0122,ایلام,معتدل,گندم آبی,10-15,11-20,6-1,6-25,230,,D
CCIR0123,فارس,معتدل,گندم آبی,10-15,11-20,6-1,6-25,230,,D
CCIR0124,لرستان,معتدل,گندم آبی,10-15,11-20,6-1,6-25,230,,D
CCIR0125,چهارماه نور,معتدل,گندم آبی,10-15,11-20,6-1,6-25,230,,D
CCIR0126,چهارمحال,معتدل,گندم آبی,10-15,11-20,6-1,6-25,230,,D
CCIR0127,کرمان,معتدل,گندم آبی,10-15,11-20,6-1,6-25,230,,D
CCIR0128,کرمانشاه,معتدل,گندم آبی,10-15,11-20,6-1,6-25,230,,D
CCIR0129,کهگیلویه,معتدل,گندم آبی,10-15,11-20,6-1,6-25,230,,D
CCIR0130,یزد,معتدل,گندم آبی,10-15,11-20,6-1,6-25,230,,D
CCIR0131,اصفهان,معتدل,گندم دیم,10-10,11-15,6-1,6-20,235,,D
CCIR0132,ایلام,معتدل,گندم دیم,10-10,11-15,6-1,6-20,235,,D
CCIR0133,فارس,معتدل,گندم دیم,10-10,11-15,6-1,6-20,235,,D
CCIR0134,لرستان,معتدل,گندم دیم,10-10,11-15,6-1,6-20,235,,D
CCIR0135,چهارماه نور,معتدل,گندم دیم,10-10,11-15,6-1,6-20,235,,D
CCIR0136,چهارمحال,معتدل,گندم دیم,10-10,11-15,6-1,6-20,235,,D
CCIR0137,کرمان,معتدل,گندم دیم,10-10,11-15,6-1,6-20,235,,D
CCIR0138,کرمانشاه,معتدل,گندم دیم,10-10,11-15,6-1,6-20,235,,D
CCIR0139,کهگیلویه,معتدل,گندم دیم,10-10,11-15,6-1,6-20,235,,D
CCIR0140,یزد,معتدل,گندم دیم,10-10,11-15,6-1,6-20,235,,D
CCIR0141,اصفهان,معتدل,جو,10-15,11-20,5-20,6-15,215,,D
CCIR0142,ایلام,معتدل,جو,10-15,11-20,5-20,6-15,215,,D
CCIR0143,فارس,معتدل,جو,10-15,11-20,5-20,6-15,215,,D
CCIR0144,لرستان,معتدل,جو,10-15,11-20,5-20,6-15,215,,D
CCIR0145,چهارماه نور,معتدل,جو,10-15,11-20,5-20,6-15,215,,D
CCIR0146,چهارمحال,معتدل,جو,10-15,11-20,5-20,6-15,215,,D
CCIR0147,کرمان,معتدل,جو,10-15,11-20,5-20,6-15,215,,D
CCIR0148,کرمانشاه,معتدل,جو,10-15,11-20,5-20,6-15,215,,D
CCIR0149,کهگیلویه,معتدل,جو,10-15,11-20,5-20,6-15,215,,D
CCIR0150,یزد,معتدل,جو,10-15,11-20,5-20,6-15,215,,D
CCIR0151,اصفهان,معتدل,ذرت دانه,4-20,5-25,9-10,10-5,140,,D
CCIR0152,ایلام,معتدل,ذرت دانه,4-20,5-25,9-10,10-5,140,,D
CCIR0153,فارس,معتدل,ذرت دانه,4-20,5-25,9-10,10-5,140,,D
CCIR0154,لرستان,معتدل,ذرت دانه,4-20,5-25,9-10,10-5,140,,D
CCIR0155,چهارماه نور,معتدل,ذرت دانه,4-20,5-25,9-10,10-5,140,,D
CCIR0156,چهارمحال,معتدل,ذرت دانه,4-20,5-25,9-10,10-5,140,,D
CCIR0157,کرمان,معتدل,ذرت دانه,4-20,5-25,9-10,10-5,140,,D
CCIR0158,کرمانشاه,معتدل,ذرت دانه,4-20,5-25,9-10,10-5,140,,D
CCIR0159,کهگیلویه,معتدل,ذرت دانه,4-20,5-25,9-10,10-5,140,,D
CCIR0160,یزد,معتدل,ذرت دانه,4-20,5-25,9-10,10-5,140,,D
CCIR0161,اصفهان,معتدل,چغندرقند,3-25,4-15,10-15,11-10,200,,D
CCIR0162,ایلام,معتدل,چغندرقند,3-25,4-15,10-15,11-10,200,,D
CCIR0163,فارس,معتدل,چغندرقند,3-25,4-15,10-15,11-10,200,,D
CCIR0164,لرستان,معتدل,چغندرقند,3-25,4-15,10-15,11-10,200,,D
CCIR0165,چهارماه نور,معتدل,چغندرقند,3-25,4-15,10-15,11-10,200,,D
CCIR0166,چهارمحال,معتدل,چغندرقند,3-25,4-15,10-15,11-10,200,,D
CCIR0167,کرمان,معتدل,چغندرقند,3-25,4-15,10-15,11-10,200,,D
CCIR0168,کرمانشاه,معتدل,چغندرقند,3-25,4-15,10-15,11-10,200,,D
CCIR0169,کهگیلویه,معتدل,چغندرقند,3-25,4-15,10-15,11-10,200,,D
CCIR0170,یزد,معتدل,چغندرقند,3-25,4-15,10-15,11-10,200,,D
CCIR0171,اصفهان,معتدل,سیب‌زمینی,3-20,4-20,8-1,9-1,130,کاشت پاییزه در فارس,D
CCIR0172,ایلام,معتدل,سیب‌زمینی,3-20,4-20,8-1,9-1,130,کاشت پاییزه در فارس,D
CCIR0173,فارس,معتدل,سیب‌زمینی,3-20,4-20,8-1,9-1,130,کاشت پاییزه در فارس,D
CCIR0174,لرستان,معتدل,سیب‌زمینی,3-20,4-20,8-1,9-1,130,کاشت پاییزه در فارس,D
CCIR0175,چهارماه نور,معتدل,سیب‌زمینی,3-20,4-20,8-1,9-1,130,کاشت پاییزه در فارس,D
CCIR0176,چهارمحال,معتدل,سیب‌زمینی,3-20,4-20,8-1,9-1,130,کاشت پاییزه در فارس,D
CCIR0177,کرمان,معتدل,سیب‌زمینی,3-20,4-20,8-1,9-1,130,کاشت پاییزه در فارس,D
CCIR0178,کرمانشاه,معتدل,سیب‌زمینی,3-20,4-20,8-1,9-1,130,کاشت پاییزه در فارس,D
CCIR0179,کهگیلویه,معتدل,سیب‌زمینی,3-20,4-20,8-1,9-1,130,کاشت پاییزه در فارس,D
CCIR0180,یزد,معتدل,سیب‌زمینی,3-20,4-20,8-1,9-1,130,کاشت پاییزه در فارس,D
CCIR0181,اصفهان,معتدل,گوجه‌فرنگی,4-25,5-20,7-25,9-10,110,,D
CCIR0182,ایلام,معتدل,گوجه‌فرنگی,4-25,5-20,7-25,9-10,110,,D
CCIR0183,فارس,معتدل,گوجه‌فرنگی,4-25,5-20,7-25,9-10,110,,D
CCIR0184,لرستان,معتدل,گوجه‌فرنگی,4-25,5-20,7-25,9-10,110,,D
CCIR0185,چهارماه نور,معتدل,گوجه‌فرنگی,4-25,5-20,7-25,9-10,110,,D
CCIR0186,چهارمحال,معتدل,گوجه‌فرنگی,4-25,5-20,7-25,9-10,110,,D
CCIR0187,کرمان,معتدل,گوجه‌فرنگی,4-25,5-20,7-25,9-10,110,,D
CCIR0188,کرمانشاه,معتدل,گوجه‌فرنگی,4-25,5-20,7-25,9-10,110,,D
CCIR0189,کهگیلویه,معتدل,گوجه‌فرنگی,4-25,5-20,7-25,9-10,110,,D
CCIR0190,یزد,معتدل,گوجه‌فرنگی,4-25,5-20,7-25,9-10,110,,D
CCIR0191,اصفهان,معتدل,پنبه,5-1,5-25,9-20,10-25,160,,D
CCIR0192,ایلام,معتدل,پنبه,5-1,5-25,9-20,10-25,160,,D
CCIR0193,فارس,معتدل,پنبه,5-1,5-25,9-20,10-25,160,,D
CCIR0194,لرستان,معتدل,پنبه,5-1,5-25,9-20,10-25,160,,D
CCIR0195,چهارماه نور,معتدل,پنبه,5-1,5-25,9-20,10-25,160,,D
CCIR0196,چهارمحال,معتدل,پنبه,5-1,5-25,9-20,10-25,160,,D
CCIR0197,کرمان,معتدل,پنبه,5-1,5-25,9-20,10-25,160,,D
CCIR0198,کرمانشاه,معتدل,پنبه,5-1,5-25,9-20,10-25,160,,D
CCIR0199,کهگیلویه,معتدل,پنبه,5-1,5-25,9-20,10-25,160,,D
CCIR0200,یزد,معتدل,پنبه,5-1,5-25,9-20,10-25,160,,D
CCIR0201,اصفهان,معتدل,یونجه,3-20,5-1,5-10,10-15,300,۴ چین,D
CCIR0202,ایلام,معتدل,یونجه,3-20,5-1,5-10,10-15,300,۴ چین,D
CCIR0203,فارس,معتدل,یونجه,3-20,5-1,5-10,10-15,300,۴ چین,D
CCIR0204,لرستان,معتدل,یونجه,3-20,5-1,5-10,10-15,300,۴ چین,D
CCIR0205,چهارماه نور,معتدل,یونجه,3-20,5-1,5-10,10-15,300,۴ چین,D
CCIR0206,چهارمحال,معتدل,یونجه,3-20,5-1,5-10,10-15,300,۴ چین,D
CCIR0207,کرمان,معتدل,یونجه,3-20,5-1,5-10,10-15,300,۴ چین,D
CCIR0208,کرمانشاه,معتدل,یونجه,3-20,5-1,5-10,10-15,300,۴ چین,D
CCIR0209,کهگیلویه,معتدل,یونجه,3-20,5-1,5-10,10-15,300,۴ چین,D
CCIR0210,یزد,معتدل,یونجه,3-20,5-1,5-10,10-15,300,۴ چین,D
CCIR0211,بوشهر,گرم,گندم آبی,11-5,12-20,4-20,5-20,170,,D
CCIR0212,خوزستان,گرم,گندم آبی,11-5,12-20,4-20,5-20,170,,D
CCIR0213,سیستان,گرم,گندم آبی,11-5,12-20,4-20,5-20,170,,D
CCIR0214,هرمزگان,گرم,گندم آبی,11-5,12-20,4-20,5-20,170,,D
CCIR0215,بوشهر,گرم,جو,11-1,12-15,4-10,5-5,155,,D
CCIR0216,خوزستان,گرم,جو,11-1,12-15,4-10,5-5,155,,D
CCIR0217,سیستان,گرم,جو,11-1,12-15,4-10,5-5,155,,D
CCIR0218,هرمزگان,گرم,جو,11-1,12-15,4-10,5-5,155,,D
CCIR0219,بوشهر,گرم,ذرت دانه,8-15,9-10,11-20,12-25,105,ذرت پاییزه/دوم,D
CCIR0220,خوزستان,گرم,ذرت دانه,8-15,9-10,11-20,12-25,105,ذرت پاییزه/دوم,D
CCIR0221,سیستان,گرم,ذرت دانه,8-15,9-10,11-20,12-25,105,ذرت پاییزه/دوم,D
CCIR0222,هرمزگان,گرم,ذرت دانه,8-15,9-10,11-20,12-25,105,ذرت پاییزه/دوم,D
CCIR0223,بوشهر,گرم,برنج,4-20,5-20,8-25,9-30,125,خوزستان,D
CCIR0224,خوزستان,گرم,برنج,4-20,5-20,8-25,9-30,125,خوزستان,D
CCIR0225,سیستان,گرم,برنج,4-20,5-20,8-25,9-30,125,خوزستان,D
CCIR0226,هرمزگان,گرم,برنج,4-20,5-20,8-25,9-30,125,خوزستان,D
CCIR0227,بوشهر,گرم,نیشکر,9-15,11-15,10-1,11-30,365,چین سالانه,D
CCIR0228,خوزستان,گرم,نیشکر,9-15,11-15,10-1,11-30,365,چین سالانه,D
CCIR0229,سیستان,گرم,نیشکر,9-15,11-15,10-1,11-30,365,چین سالانه,D
CCIR0230,هرمزگان,گرم,نیشکر,9-15,11-15,10-1,11-30,365,چین سالانه,D
CCIR0231,بوشهر,گرم,گوجه‌فرنگی,9-1,10-15,12-15,2-20,110,پاییزه؛ صادرات زمستانی,D
CCIR0232,خوزستان,گرم,گوجه‌فرنگی,9-1,10-15,12-15,2-20,110,پاییزه؛ صادرات زمستانی,D
CCIR0233,سیستان,گرم,گوجه‌فرنگی,9-1,10-15,12-15,2-20,110,پاییزه؛ صادرات زمستانی,D
CCIR0234,هرمزگان,گرم,گوجه‌فرنگی,9-1,10-15,12-15,2-20,110,پاییزه؛ صادرات زمستانی,D
CCIR0235,بوشهر,گرم,پنبه,4-15,5-20,9-25,10-30,165,,D
CCIR0236,خوزستان,گرم,پنبه,4-15,5-20,9-25,10-30,165,,D
CCIR0237,سیستان,گرم,پنبه,4-15,5-20,9-25,10-30,165,,D
CCIR0238,هرمزگان,گرم,پنبه,4-15,5-20,9-25,10-30,165,,D
CCIR0239,بوشهر,گرم,خرما,-,-,7-25,10-25,0,برداشت تازه‌خور تا خارک,D
CCIR0240,خوزستان,گرم,خرما,-,-,7-25,10-25,0,برداشت تازه‌خور تا خارک,D
CCIR0241,سیستان,گرم,خرما,-,-,7-25,10-25,0,برداشت تازه‌خور تا خارک,D
CCIR0242,هرمزگان,گرم,خرما,-,-,7-25,10-25,0,برداشت تازه‌خور تا خارک,D
CCIR0243,مازندران,شمال مرطوب,گندم آبی,10-20,11-25,6-20,7-10,225,,D
CCIR0244,گلستان,شمال مرطوب,گندم آبی,10-20,11-25,6-20,7-10,225,,D
CCIR0245,گیلان,شمال مرطوب,گندم آبی,10-20,11-25,6-20,7-10,225,,D
CCIR0246,مازندران,شمال مرطوب,برنج,4-20,5-20,8-25,9-20,125,نشاکاری,D
CCIR0247,گلستان,شمال مرطوب,برنج,4-20,5-20,8-25,9-20,125,نشاکاری,D
CCIR0248,گیلان,شمال مرطوب,برنج,4-20,5-20,8-25,9-20,125,نشاکاری,D
CCIR0249,مازندران,شمال مرطوب,ذرت دانه,5-10,6-5,10-1,10-20,135,,D
CCIR0250,گلستان,شمال مرطوب,ذرت دانه,5-10,6-5,10-1,10-20,135,,D
CCIR0251,گیلان,شمال مرطوب,ذرت دانه,5-10,6-5,10-1,10-20,135,,D
CCIR0252,مازندران,شمال مرطوب,سیب‌زمینی,3-5,4-10,6-20,7-20,105,+ کاشت پاییزه,D
CCIR0253,گلستان,شمال مرطوب,سیب‌زمینی,3-5,4-10,6-20,7-20,105,+ کاشت پاییزه,D
CCIR0254,گیلان,شمال مرطوب,سیب‌زمینی,3-5,4-10,6-20,7-20,105,+ کاشت پاییزه,D
CCIR0255,مازندران,شمال مرطوب,گوجه‌فرنگی,5-1,5-30,7-20,9-5,110,,D
CCIR0256,گلستان,شمال مرطوب,گوجه‌فرنگی,5-1,5-30,7-20,9-5,110,,D
CCIR0257,گیلان,شمال مرطوب,گوجه‌فرنگی,5-1,5-30,7-20,9-5,110,,D
CCIR0258,مازندران,شمال مرطوب,یونجه,3-25,4-30,5-5,10-10,310,۵ چین,D
CCIR0259,گلستان,شمال مرطوب,یونجه,3-25,4-30,5-5,10-10,310,۵ چین,D
CCIR0260,گیلان,شمال مرطوب,یونجه,3-25,4-30,5-5,10-10,310,۵ چین,D
