species_id,scientific_name,crop_note_fa,kc_ini,kc_mid,kc_end,len_ini_d,len_dev_d,len_mid_d,len_late_d,base_temp_c,root_depth_m,harvest_index,ky_yield_response,p_depletion,cycle_days,param_source,confidence
W036,phoenix dactylifera,خرما,0.6,0.95,0.75,60,90,150,60,10.0,2.5,0.5,0.9,0.5,360,FAO-56/AquaCrop,C
W029,pistacia vera,پسته,0.4,0.95,0.65,30,50,90,40,10.0,1.8,0.3,0.9,0.6,210,FAO-56/AquaCrop,C
W030,prunus dulcis,بادام,0.4,1.05,0.65,30,50,90,30,10.0,2.0,0.3,0.9,0.55,200,FAO-56/AquaCrop,C
W040,prunus persica,هلو,0.45,1.05,0.65,25,40,100,20,7.0,1.8,0.4,0.9,0.5,185,FAO-56/AquaCrop,C
W038,malus domestica,سیب,0.5,1.2,0.75,25,45,120,25,6.0,2.0,0.55,1.1,0.5,215,FAO-56/AquaCrop,C
W145,juglans regia,گردو,0.5,1.1,0.65,30,40,110,30,8.0,2.5,0.4,0.9,0.5,210,FAO-56/AquaCrop,C
W032,punica granatum,انار (تقریبی),0.45,0.8,0.6,30,50,100,30,10.0,2.0,0.35,0.8,0.55,210,FAO-56 + تخمین,D
W031,ficus carica,انجیر (تقریبی),0.5,0.8,0.6,30,45,95,30,10.0,2.0,0.4,0.8,0.55,200,FAO-56 + تخمین,D
W135,citrus sinensis,پرتقال,0.7,0.65,0.7,30,90,120,30,13.0,1.5,0.4,0.8,0.5,270,FAO-56/AquaCrop,C
W140,musa paradisiaca,موز,0.5,1.0,1.0,40,60,180,30,15.0,0.6,0.5,1.1,0.3,310,FAO-56/AquaCrop,C
W043,mangifera indica,انبه (تقریبی),0.6,0.85,0.75,40,70,140,30,15.0,2.0,0.45,0.9,0.6,280,FAO-56 + تخمین,D
W134,fragaria x ananassa,توت‌فرنگی,0.4,0.85,0.75,20,30,60,20,8.0,0.4,0.6,0.85,0.25,130,FAO-56/AquaCrop,C
W047,camellia sinensis,چای,0.9,1.0,0.95,40,60,150,30,12.0,1.2,0.35,0.9,0.45,280,FAO-56/AquaCrop,C
W046,coffea arabica,قهوه,0.9,1.0,0.95,40,60,160,30,15.0,1.5,0.35,0.9,0.5,290,FAO-56/AquaCrop,C
W056,crocus sativus,زعفران (تقریبی),0.3,0.6,0.4,20,40,60,30,5.0,0.3,0.1,0.8,0.5,150,FAO-56 + تخمین,D
W177,nicotiana tabacum,تنباکو,0.4,1.0,0.75,25,30,45,30,12.0,1.1,0.45,0.9,0.5,130,FAO-56/AquaCrop,C
